date,state,novosCasos,totalcasos,casos_preditos
2020-02-25,Brasil,1.0,1.0,1.0
2020-02-26,Brasil,0.0,1.0,1.3835415918963532
2020-02-27,Brasil,0.0,1.0,1.7704774282711766
2020-02-28,Brasil,0.0,1.0,2.2103482009463686
2020-02-29,Brasil,1.0,2.0,2.7476223940210955
2020-03-01,Brasil,0.0,2.0,3.429943862485581
2020-03-02,Brasil,0.0,2.0,4.315101396368435
2020-03-03,Brasil,0.0,2.0,5.478240279275891
2020-03-04,Brasil,1.0,3.0,7.020593703739158
2020-03-05,Brasil,6.0,9.0,9.081062515156258
2020-03-06,Brasil,5.0,14.0,11.85227583591018
2020-03-07,Brasil,5.0,19.0,15.603337286917478
2020-03-08,Brasil,6.0,25.0,20.712366873029307
2020-03-09,Brasil,4.0,29.0,27.713291993637082
2020-03-10,Brasil,5.0,34.0,37.363276680781524
2020-03-11,Brasil,36.0,70.0,50.739880477576925
2020-03-12,Brasil,40.0,110.0,69.38066570581341
2020-03-13,Brasil,10.0,120.0,95.48250381618062
2020-03-14,Brasil,26.0,146.0,132.18272750714777
2020-03-15,Brasil,87.0,233.0,183.94769026710338
2020-03-16,Brasil,67.0,300.0,257.0915145787201
2020-03-17,Brasil,39.0,339.0,360.4285074611283
2020-03-18,Brasil,170.0,509.0,506.00702030848635
2020-03-19,Brasil,,,709.748476944397
2020-03-20,Brasil,,,991.5874805602936
2020-03-21,Brasil,,,1374.3814662034695
2020-03-22,Brasil,,,1880.58325006439
2020-03-23,Brasil,,,2525.8901616108046
2020-03-24,Brasil,,,3310.4567070861453
2020-03-25,Brasil,,,4210.883476882869
