date,state,totalcasos,casos_preditos
2020-02-25,São Paulo,1.0,0.835348577470435
2020-02-26,São Paulo,1.0,1.0799110838778083
2020-02-27,São Paulo,1.0,1.3960734243584887
2020-02-28,São Paulo,1.0,1.8047976683426359
2020-02-29,São Paulo,2.0,2.3331828876778298
2020-03-01,São Paulo,2.0,3.0162618684850697
2020-03-02,São Paulo,2.0,3.899323840974995
2020-03-03,São Paulo,2.0,5.04091722793042
2020-03-04,São Paulo,3.0,6.516731498887749
2020-03-05,São Paulo,6.0,8.42461550316532
2020-03-06,São Paulo,10.0,10.891065005254093
2020-03-07,São Paulo,13.0,14.079609556555308
2020-03-08,São Paulo,16.0,18.201654766490723
2020-03-09,São Paulo,16.0,23.53049883292145
2020-03-10,São Paulo,19.0,30.41945265028605
2020-03-11,São Paulo,45.0,39.32526488764234
2020-03-12,São Paulo,64.0,50.83840515679669
2020-03-13,São Paulo,64.0,65.72221309305883
2020-03-14,São Paulo,65.0,84.9635089953635
2020-03-15,São Paulo,136.0,109.83802159224042
2020-03-16,São Paulo,152.0,141.99497089928127
2020-03-17,São Paulo,164.0,183.5664141469945
2020-03-18,São Paulo,241.0,237.30860458915382
2020-03-19,São Paulo,,306.7847355069846
2020-03-20,São Paulo,,396.60118562928875
2020-03-21,São Paulo,,512.7129294181477
2020-03-22,São Paulo,,662.8183614111848
2020-03-23,São Paulo,,856.869712106499
2020-03-24,São Paulo,,1107.73289678074
2020-03-25,São Paulo,,1432.0405462735475
2020-03-05,Espírito Santo,1.0,0.3027068577699889
2020-03-06,Espírito Santo,1.0,0.3993912927996744
2020-03-07,Espírito Santo,1.0,0.5269566931496515
2020-03-08,Espírito Santo,1.0,0.6952664253361567
2020-03-09,Espírito Santo,1.0,0.9173342107307425
2020-03-10,Espírito Santo,1.0,1.2103303474925227
2020-03-11,Espírito Santo,1.0,1.5969093193356871
2020-03-12,Espírito Santo,2.0,2.1069614419437857
2020-03-13,Espírito Santo,2.0,2.779923984465551
2020-03-14,Espírito Santo,4.0,3.6678304621831863
2020-03-15,Espírito Santo,4.0,4.839333871895529
2020-03-16,Espírito Santo,8.0,6.385014946883809
2020-03-17,Espírito Santo,8.0,8.424385866140074
2020-03-18,Espírito Santo,11.0,11.11513094519184
2020-03-19,Espírito Santo,,14.6652987994445
2020-03-20,Espírito Santo,,19.349388679044154
2020-03-21,Espírito Santo,,25.52957477190329
2020-03-22,Espírito Santo,,33.68370953962343
2020-03-23,Espírito Santo,,44.442271306390886
2020-03-24,Espírito Santo,,58.637112891246474
2020-03-25,Espírito Santo,,77.36578053170625
2020-03-05,Rio de Janeiro,1.0,2.325970736365934
2020-03-06,Rio de Janeiro,1.0,2.96747017464393
2020-03-07,Rio de Janeiro,2.0,3.7858942503977784
2020-03-08,Rio de Janeiro,3.0,4.8300385283281875
2020-03-09,Rio de Janeiro,8.0,6.16215632084376
2020-03-10,Rio de Janeiro,8.0,7.8616703158386505
2020-03-11,Rio de Janeiro,14.0,10.02990786616003
2020-03-12,Rio de Janeiro,16.0,12.79614226521115
2020-03-13,Rio de Janeiro,19.0,16.325300197818454
2020-03-14,Rio de Janeiro,24.0,20.82779489514321
2020-03-15,Rio de Janeiro,24.0,26.572071259805806
2020-03-16,Rio de Janeiro,31.0,33.90061091877017
2020-03-17,Rio de Janeiro,33.0,43.25035144716973
2020-03-18,Rio de Janeiro,63.0,55.178737185175144
2020-03-19,Rio de Janeiro,,70.39695483329697
2020-03-20,Rio de Janeiro,,89.81233537785113
2020-03-21,Rio de Janeiro,,114.58245040747643
2020-03-22,Rio de Janeiro,,146.184128117212
2020-03-23,Rio de Janeiro,,186.50150382885397
2020-03-24,Rio de Janeiro,,237.93835472025273
2020-03-25,Rio de Janeiro,,303.56141631401584
2020-03-05,Distrito Federal,1.0,0.3238288682159755
2020-03-06,Distrito Federal,1.0,0.4628758259050774
2020-03-07,Distrito Federal,1.0,0.661627332324221
2020-03-08,Distrito Federal,1.0,0.9457195696545949
2020-03-09,Distrito Federal,1.0,1.3517964883430653
2020-03-10,Distrito Federal,2.0,1.9322363674509222
2020-03-11,Distrito Federal,2.0,2.761907884726224
2020-03-12,Distrito Federal,3.0,3.9478271355466754
2020-03-13,Distrito Federal,3.0,5.642961221968332
2020-03-14,Distrito Federal,8.0,8.065958883032216
2020-03-15,Distrito Federal,14.0,11.529353143432154
2020-03-16,Distrito Federal,19.0,16.479873730275994
2020-03-17,Distrito Federal,21.0,23.556068999461004
2020-03-18,Distrito Federal,34.0,33.67066979936597
2020-03-19,Distrito Federal,,48.128319065624886
2020-03-20,Distrito Federal,,68.79385262856313
2020-03-21,Distrito Federal,,98.33283711877368
2020-03-22,Distrito Federal,,140.55539101778066
2020-03-23,Distrito Federal,,200.90763699107643
2020-03-24,Distrito Federal,,287.17417602453946
2020-03-25,Distrito Federal,,410.4821927652069
2020-03-06,Bahia,1.0,0.39491405319086625
2020-03-07,Bahia,2.0,0.5594053446093181
2020-03-08,Bahia,2.0,0.7924112526484981
2020-03-09,Bahia,2.0,1.122469778622674
2020-03-10,Bahia,2.0,1.5900056942782017
2020-03-11,Bahia,3.0,2.2522816702817883
2020-03-12,Bahia,3.0,3.190411669934401
2020-03-13,Bahia,7.0,4.519295591647793
2020-03-14,Bahia,7.0,6.40169193121937
2020-03-15,Bahia,9.0,9.068152049619917
2020-03-16,Bahia,10.0,12.845257547306366
2020-03-17,Bahia,16.0,18.195619190521512
2020-03-18,Bahia,28.0,25.77453636154631
2020-03-19,Bahia,,36.51025654563787
2020-03-20,Bahia,,51.717664842927284
2020-03-21,Bahia,,73.25932792233202
2020-03-22,Bahia,,103.77361669231935
2020-03-23,Bahia,,146.99784760271694
2020-03-24,Bahia,,208.2260201443947
2020-03-25,Bahia,,294.9572131311433
2020-03-08,Minas Gerais,1.0,0.24569478250353632
2020-03-09,Minas Gerais,1.0,0.38021852461453304
2020-03-10,Minas Gerais,1.0,0.5883972178284719
2020-03-11,Minas Gerais,1.0,0.9105587012081444
2020-03-12,Minas Gerais,2.0,1.4091112656952862
2020-03-13,Minas Gerais,2.0,2.1806332271328044
2020-03-14,Minas Gerais,4.0,3.374581828305325
2020-03-15,Minas Gerais,4.0,5.222245710206713
2020-03-16,Minas Gerais,7.0,8.081549550531426
2020-03-17,Minas Gerais,14.0,12.506390308300814
2020-03-18,Minas Gerais,19.0,19.35393671295069
2020-03-19,Minas Gerais,,29.950677777926543
2020-03-20,Minas Gerais,,46.34938682820665
2020-03-21,Minas Gerais,,71.72677944984592
2020-03-22,Minas Gerais,,110.99889863302197
2020-03-23,Minas Gerais,,171.77343792995802
2020-03-24,Minas Gerais,,265.8234842115733
2020-03-25,Minas Gerais,,411.36816966540283
