Source;beta_0;beta_1;delta;p;kappa;gammaA;gammaS;Ia0;Is0;E0;t1;t1_date
AC_estado;0.661183704;1.050804304;0.366628294;0.167474734;0.25;0.285714286;0.249999375;5.32E-05;5.25E-05;5.58E-05;16.61556083;03-04-2020
AC_capital;0.498401052;0.779062602;0.578580711;0.100365327;0.25;0.285714286;0.249999375;7.38E-05;7.83E-05;0.000121812;12.95060073;30-03-2020
AC_interior;0.872119272;1.751904897;0.220832728;0.100000101;0.25;0.285714286;0.249999375;0.000102831;0.000102526;0.000103155;18.0000216;04-04-2020
AL_estado;1.255151901;0.851193526;0.504771205;0.112771193;0.25;0.285714286;0.249999375;1.09E-06;4.94E-08;1.62E-06;37.11129082;14-04-2020
AL_capital;0.953119665;0.632302369;0.674816227;0.107122119;0.25;0.285714286;0.249999375;1.39E-06;1.63E-06;8.03E-07;37.6947743;15-04-2020
AL_interior;0.709755828;0.500812721;1.003946367;0.197476012;0.25;0.285714286;0.249999375;5.04E-07;4.36E-08;1.13E-06;30.63036942;08-04-2020
AP_estado;1.461216995;0.553159742;0.805077432;0.100042159;0.25;0.285714286;0.249999375;7.55E-07;2.24E-06;1.42E-05;19.7334712;09-04-2020
AP_capital;1.111572347;0.436986793;0.956587899;0.100038401;0.25;0.285714286;0.249999375;2.84E-06;7.53E-07;1.85E-05;20.51522533;10-04-2020
AP_interior;1.838489923;0.726236198;0.631337796;0.100008296;0.25;0.285714286;0.249999375;2.74E-06;9.24E-10;2.25E-05;19.3879915;08-04-2020
AM_estado;0.85163354;0.489584383;0.970479847;0.100000054;0.25;0.285714286;0.249999375;1.19E-05;1.13E-05;3.92E-07;22.13003923;04-04-2020
AM_capital;1.041314817;0.530565216;0.754871424;0.113628153;0.25;0.285714286;0.249999375;9.03E-07;1.41E-05;3.92E-10;22.43511635;04-04-2020
AM_interior;0.579590066;0.353252724;1.499976702;0.1;0.25;0.285714286;0.249999375;7.62E-06;2.51E-05;1.14E-09;22.10719344;04-04-2020
BA_estado;1.153883823;0.714824354;0.53117789;0.151778971;0.25;0.285714286;0.249999375;7.47E-07;1.31E-06;2.66E-07;24.82112041;31-03-2020
BA_capital;1.085551478;0.86548318;0.410454694;0.105898198;0.25;0.285714286;0.249999375;7.69E-06;1.45E-05;1.09E-05;32.9989975;15-04-2020
BA_interior;0.824494191;0.555669061;0.743881145;0.171132952;0.25;0.285714286;0.249999375;1.36E-06;9.68E-07;1.12E-06;24.44738046;30-03-2020
CE_estado;1.999997615;1.064076961;0.046175033;0.349998809;0.25;0.285714286;0.249999375;5.44E-06;5.44E-06;5.44E-06;14.90402855;31-03-2020
CE_capital;1.441261999;1.023486424;2.33E-07;0.349999942;0.25;0.285714286;0.249999375;1.81E-05;1.89E-05;1.89E-05;25.90658445;11-04-2020
CE_interior;1.345620535;0.994962252;0.115489202;0.349996832;0.25;0.285714286;0.249999375;7.65E-06;7.65E-06;7.65E-06;21.19077675;06-04-2020
DF_estado;1.142922276;1.094478542;0.014359227;0.327191471;0.25;0.285714286;0.249999375;1.63E-05;1.64E-05;1.64E-05;15.06401849;22-03-2020
ES_estado;1.485652625;0.901927179;0.300806501;0.177300973;0.25;0.285714286;0.249999375;4.88E-06;7.17E-07;1.58E-10;40.83697278;15-04-2020
ES_capital;1.477588525;1.082620952;0.080975302;0.272219798;0.25;0.285714286;0.249999375;1.64E-31;1.36E-24;0.000102021;26.982428;15-04-2020
ES_interior;1.325853175;0.790321505;0.319731941;0.236241819;0.25;0.285714286;0.249999375;3.87E-06;3.92E-07;4.49E-10;40.96544136;15-04-2020
GO_estado;0.739778373;0.566357;0.547029912;0.248785326;0.25;0.285714286;0.249999375;5.77E-06;2.94E-07;5.62E-06;27.62609542;09-04-2020
GO_capital;1.06783378;0.749546785;0.256624723;0.274662119;0.25;0.285714286;0.249999375;1.17E-06;1.21E-06;9.26E-06;28.96759697;10-04-2020
GO_interior;0.764266637;0.602032611;0.569519908;0.166366208;0.25;0.285714286;0.249999375;3.00E-06;2.16E-06;8.91E-06;26.88461274;08-04-2020
MA_estado;1.363839573;0.824412543;0.502100905;0.103279567;0.25;0.285714286;0.249999375;4.93E-06;7.02E-06;4.33E-06;24.89323961;14-04-2020
MA_capital;1.064175069;0.496913877;0.707199819;0.100000413;0.25;0.285714286;0.249999375;6.38E-06;1.40E-05;4.37E-05;25.99999999;15-04-2020
MA_interior;1.360547433;0.790246465;0.585296006;0.100023213;0.25;0.285714286;0.249999375;3.07E-06;2.06E-06;4.98E-06;22.45725675;11-04-2020
MT_estado;0.647950895;0.819529008;0.257761395;0.316569052;0.25;0.285714286;0.249999375;1.41E-05;1.41E-05;7.55E-06;25.99787554;15-04-2020
MT_capital;0.628844117;0.787082575;0.369264527;0.140977074;0.25;0.285714286;0.249999375;5.01E-05;8.42E-05;9.31E-09;25.99999995;15-04-2020
MT_interior;0.906789722;1.207367259;0.101056214;0.267257149;0.25;0.285714286;0.249999375;2.22E-06;1.61E-05;7.22E-09;25.99972711;15-04-2020
MS_estado;0.724148146;0.843805638;0.303548924;0.205237121;0.25;0.285714286;0.249999375;1.75E-05;1.66E-05;1.08E-05;31.98748727;15-04-2020
MS_capital;0.867509337;0.817979833;0.216160385;0.178902992;0.25;0.285714286;0.249999375;1.80E-05;8.12E-06;4.16E-05;31.09164732;14-04-2020
MS_interior;0.705281929;0.833425487;0.331044821;0.212636127;0.25;0.285714286;0.249999375;1.55E-05;1.87E-05;3.14E-06;31.9496102;15-04-2020
MG_estado;1.250123226;0.456007849;0.797013756;0.161004912;0.25;0.285714286;0.249999375;1.08E-06;3.72E-07;4.44E-10;15.53403349;24-03-2020
MG_capital;0.728971724;0.653252735;0.16477744;0.34960075;0.25;0.285714286;0.249999375;2.02E-05;2.02E-05;2.02E-05;10;26-03-2020
MG_interior;1.144902755;0.463098329;0.779887766;0.228270846;0.25;0.285714286;0.249999375;3.29E-07;3.57E-07;5.15E-07;16.58054268;25-03-2020
PA_estado;1.036174674;0.673135852;0.718705175;0.116247163;0.25;0.285714286;0.249999375;8.48E-07;1.77E-06;4.24E-06;27.99010728;15-04-2020
PA_capital;1.113678045;0.638964968;0.679019532;0.100002907;0.25;0.285714286;0.249999375;3.04E-06;8.18E-07;1.56E-05;27.99745565;15-04-2020
PA_interior;1.160872754;0.770331619;0.645562887;0.100090984;0.25;0.285714286;0.249999375;3.38E-06;4.34E-07;2.05E-06;27.6988865;15-04-2020
PB_estado;0.844889785;0.623073364;0.798287938;0.100015158;0.25;0.285714286;0.249999375;2.62E-06;4.48E-07;8.37E-07;33.98334147;15-04-2020
PB_capital;0.934399201;0.568812841;0.703536149;0.123180081;0.25;0.285714286;0.249999375;7.48E-10;7.51E-06;4.64E-06;27.95461314;15-04-2020
PB_interior;1.350734357;1.100056262;0.404480061;0.141208266;0.25;0.285714286;0.249999375;1.62E-06;4.19E-07;1.58E-06;26.51533378;08-04-2020
PR_estado;1.237120204;0.566207201;0.316235352;0.289394322;0.25;0.285714286;0.249999375;4.05E-06;9.48E-07;4.33E-06;20.94679169;02-04-2020
PR_capital;1.21848445;0.606352954;0.174368104;0.264173079;0.25;0.285714286;0.249999375;1.20E-06;4.12E-06;1.49E-05;24.23788408;05-04-2020
PR_interior;1.279497103;0.535883218;0.430451541;0.239184007;0.25;0.285714286;0.249999375;1.02E-09;1.77E-06;3.64E-06;20.09720352;01-04-2020
PE_estado;1.0781274;0.54216261;0.656182579;0.206908681;0.25;0.285714286;0.249999375;1.65E-10;1.70E-10;4.93E-06;33.99998346;15-04-2020
PE_capital;0.867099762;0.460084055;0.853646776;0.100004185;0.25;0.285714286;0.249999375;6.24E-10;7.96E-10;2.42E-05;33.99899878;15-04-2020
PE_interior;0.986468216;0.493664385;0.802015557;0.114075604;0.25;0.285714286;0.249999375;1.42E-07;2.27E-10;6.24E-06;33.99842624;15-04-2020
PI_estado;0.877921545;0.606227553;0.750314582;0.104576188;0.25;0.285714286;0.249999375;9.57E-12;4.79E-12;1.52E-05;26.99995431;15-04-2020
PI_capital;1.99E-06;1.567889892;0.040437568;0.31453784;0.25;0.285714286;0.249999375;0.003689392;0.00534188;0.003863265;10.85661662;30-03-2020
PI_interior;1.259169019;0.844674586;0.521194368;0.100082138;0.25;0.285714286;0.249999375;4.70E-13;6.64E-12;7.98E-06;26.89980755;15-04-2020
RJ_estado;1.048613788;0.519819892;0.710595832;0.198061608;0.25;0.285714286;0.249999375;1.73E-06;1.35E-06;2.80E-09;25.37220679;30-03-2020
RJ_capital;1.083288537;0.430425296;0.891426843;0.134015536;0.25;0.285714286;0.249999375;2.20E-10;3.17E-06;8.27E-10;20.52181571;27-03-2020
RJ_interior;1.492639909;0.832678054;0.276627972;0.264376017;0.25;0.285714286;0.249999375;4.56E-07;1.58E-06;2.69E-09;28.98625097;03-04-2020
RN_estado;1.601446085;0.63292941;0.598202042;0.122641809;0.25;0.285714286;0.249999375;4.14E-06;2.37E-09;2.20E-06;17.25863487;29-03-2020
RN_capital;0.86118411;0.39833751;1.004908578;0.100056048;0.25;0.285714286;0.249999375;4.70E-06;2.91E-06;5.30E-06;19.08080296;31-03-2020
RN_interior;1.318025837;0.43402573;0.92998688;0.233776014;0.25;0.285714286;0.249999375;4.21E-07;6.02E-07;8.62E-07;15.83378639;28-03-2020
RS_estado;1.218362533;0.39090468;0.985839675;0.161935173;0.25;0.285714286;0.249999375;2.50E-06;5.75E-07;3.51E-06;10.00134559;20-03-2020
RS_capital;1.391155462;0.34025302;0.63816886;0.143520344;0.25;0.285714286;0.249999375;5.81E-06;2.65E-06;1.11E-05;15.18799648;26-03-2020
RS_interior;1.452482208;0.631755986;0.559919127;0.166544425;0.25;0.285714286;0.249999375;3.17E-06;2.37E-06;7.71E-07;10.09098768;20-03-2020
RO_estado;0.995935359;0.550811089;0.805338894;0.100030989;0.25;0.285714286;0.249999375;3.64E-09;4.93E-09;1.33E-05;25.98022903;15-04-2020
RO_capital;0.792153187;0.422089643;1.129146651;0.104509033;0.25;0.285714286;0.249999375;4.62E-09;4.35E-09;1.59E-05;22.65156258;13-04-2020
RO_interior;1.306765357;0.700357055;0.596869074;0.100610291;0.25;0.285714286;0.249999375;6.24E-18;1.95E-22;1.12E-05;25.99319616;15-04-2020
RR_estado;1.281333144;0.960033816;0.38652178;0.100018286;0.25;0.285714286;0.249999375;4.78E-05;3.32E-05;7.89E-05;24.99846139;15-04-2020
RR_capital;0.836301541;0.549070818;0.7053133;0.113099661;0.25;0.285714286;0.249999375;1.31E-09;5.60E-11;0.000123368;24.99860368;15-04-2020
RR_interior;1.542199752;1.226675387;0.297146007;0.100062131;0.25;0.285714286;0.249999375;0.000122692;7.43E-06;0.000221338;24.96990637;15-04-2020
SC_estado;1.276317243;0.525781679;0.694937482;0.143828075;0.25;0.285714286;0.249999375;5.31E-06;3.40E-06;5.96E-06;12.84764699;25-03-2020
SC_capital;0.898491565;0.356007753;0.768051575;0.142082394;0.25;0.285714286;0.249999375;1.61E-09;6.29E-08;4.80E-05;20.67345343;02-04-2020
SC_interior;1.349606967;0.482128399;0.769567263;0.199428055;0.25;0.285714286;0.249999375;8.96E-07;2.51E-06;5.80E-06;11.38793893;23-03-2020
SP_estado;1.833447604;0.840866889;0.386616416;0.100002857;0.25;0.285714286;0.249999375;1.01E-06;9.48E-08;7.48E-08;36.30109216;01-04-2020
SP_capital;1.223090302;0.536654978;0.638870397;0.100000677;0.25;0.285714286;0.249999375;6.93E-07;6.40E-07;2.06E-07;35.3570566;31-03-2020
SP_interior;0.965891227;0.464789738;0.806112065;0.123883746;0.25;0.285714286;0.249999375;2.80E-07;4.65E-07;2.40E-12;37.5002333;03-04-2020
SE_estado;0.34308933;0.795567765;0.698077366;0.100068849;0.25;0.285714286;0.249999375;1.08E-05;2.04E-05;2.15E-05;13.07095438;27-03-2020
SE_capital;0.174176498;0.769645975;0.711289968;0.10015014;0.25;0.285714286;0.249999375;6.09E-05;6.85E-05;6.43E-05;13.94725174;28-03-2020
SE_interior;0.552378136;0.87335133;0.638561397;0.100027322;0.25;0.285714286;0.249999375;1.17E-05;1.08E-05;9.18E-06;17.97890276;01-04-2020
TO_estado;0.280246352;0.756031622;0.761355292;0.11912123;0.25;0.285714286;0.249999375;1.44E-05;2.37E-05;3.13E-05;16.0116864;03-04-2020
TO_capital;0.02258659;0.687068349;0.584831746;0.294578872;0.25;0.285714286;0.249999375;7.81E-05;7.36E-05;7.02E-05;13.90981935;01-04-2020
