dates,cases,deaths
06-03-2020,1,0
07-03-2020,2,0
08-03-2020,2,0
09-03-2020,2,0
10-03-2020,2,0
11-03-2020,3,0
12-03-2020,3,0
13-03-2020,4,0
14-03-2020,4,0
15-03-2020,5,0
16-03-2020,6,0
17-03-2020,9,0
18-03-2020,10,0
19-03-2020,12,0
20-03-2020,16,0
21-03-2020,18,0
22-03-2020,22,0
23-03-2020,26,0
24-03-2020,34,0
25-03-2020,37,0
26-03-2020,45,0
27-03-2020,45,0
28-03-2020,46,0
29-03-2020,53,0
30-03-2020,59,0
31-03-2020,85,0
01-04-2020,93,0
02-04-2020,100,0
03-04-2020,106,1
04-04-2020,121,2
05-04-2020,157,2
06-04-2020,174,2
07-04-2020,193,4
08-04-2020,223,7
09-04-2020,254,8
10-04-2020,273,8
11-04-2020,285,10
12-04-2020,310,10
13-04-2020,333,11
14-04-2020,348,13
15-04-2020,362,13
16-04-2020,395,16
17-04-2020,421,18
18-04-2020,440,21
19-04-2020,485,23
20-04-2020,553,24
21-04-2020,577,25
22-04-2020,606,26
23-04-2020,708,28
24-04-2020,756,30
25-04-2020,808,34
26-04-2020,886,35
27-04-2020,921,35
28-04-2020,981,37
29-04-2020,1031,38
30-04-2020,1077,39
01-05-2020,1139,41
02-05-2020,1209,45
03-05-2020,1313,48
04-05-2020,1357,50
