susceptible_mean,susceptible_lb,susceptible_ub
14873048.18191722,14873041.74162367,14873055.076457141
14873039.683371512,14873030.15529604,14873049.419925032
14873031.343668442,14873019.14401903,14873043.606805114
14873022.358099127,14873006.84604484,14873037.053779641
14873012.194823993,14872993.57272066,14873030.118687458
14873000.426879752,14872978.067646923,14873021.229304362
14872986.670656132,14872960.289560664,14873010.984159125
14872970.52002785,14872940.683626719,14872998.524380196
14872951.481737094,14872917.0206616,14872983.32435021
14872929.067203594,14872888.80624374,14872965.63396577
14872902.677807316,14872854.995727386,14872946.270314228
14872871.477131179,14872816.80550218,14872921.04120886
14872834.681889152,14872772.862128561,14872893.637922948
14872791.297439333,14872720.783440715,14872866.191008987
14872740.06041037,14872656.336494034,14872834.013212334
14872679.657099022,14872581.584695978,14872800.940077065
14872608.850328445,14872495.610484634,14872759.404539244
14872525.96821875,14872397.222241009,14872710.102014959
14872430.136056172,14872280.230281908,14872640.191823943
14872321.830865936,14872149.534553053,14872524.143992782
14872200.769659694,14872008.058068866,14872395.34621838
14872069.049208494,14871861.662503462,14872266.55430315
14871925.903903216,14871703.317684982,14872112.933345683
14871770.553330835,14871540.966136005,14871947.781030817
14871603.543724366,14871367.691449681,14871769.426105483
14871427.669321151,14871213.993276797,14871597.896185266
14871244.669200836,14871057.038733475,14871418.933153395
14871050.5129529,14870875.033942886,14871228.848608807
14870844.077269806,14870663.005964672,14871033.440564135
14870624.771508075,14870425.647625307,14870824.803606633
14870390.576162048,14870175.722245058,14870604.110645471
14870139.228714356,14869906.821526684,14870367.716385677
14869869.77119052,14869618.206574216,14870106.416629307
14869581.093355678,14869311.16581429,14869826.050231311
14869271.956882197,14868982.84625679,14869536.140284477
14868940.916870248,14868640.20466696,14869225.801042149
14868586.457630066,14868276.925726967,14868883.16440576
14868207.05516417,14867884.955693007,14868511.232137855
14867800.722736279,14867468.218037283,14868109.62650994
14867365.912630653,14867023.974816218,14867679.576415654
14866900.371231213,14866550.271387124,14867217.933651874
14866401.861676645,14866045.621623307,14866718.62749722
14865868.264074245,14865508.513639743,14866183.260098865
14865297.033138873,14864934.331801247,14865612.842375055
14864685.463980531,14864308.824106166,14865004.236018725
14864030.715524517,14863644.854694366,14864342.86243099
14863329.732621659,14862954.538621426,14863647.557695486
14862579.231640164,14862198.214110026,14862912.922934638
14861775.740574246,14861403.262663595,14862103.98693739
14860915.519461537,14860557.506034704,14861258.84362902
14859994.55254263,14859668.039803462,14860361.27839951
14859008.542566007,14858677.467801854,14859390.141118228
14857952.910746377,14857584.133027697,14858399.319891525
14856822.73608802,14856374.081868129,14857346.424433066
14855612.759824855,14855059.821273128,14856234.521298649
14854317.348629298,14853629.82871331,14855045.816261299
14852930.477670128,14852092.910981348,14853783.079094669
14851445.691388117,14850436.617478479,14852440.73849227
14849856.10428624,14848727.536784837,14851014.426082442
14848154.2991822,14846852.223697841,14849522.83379737
14846332.413586244,14844778.137094688,14847938.07024404
14844381.96026392,14842518.251123983,14846246.337004002
14842293.896446038,14840130.78426855,14844467.159563739
14840058.57447511,14837587.058443312,14842577.141135775
14837665.662539864,14834778.24704517,14840569.650899444
14835104.048213562,14831796.200442506,14838473.074608902
14832361.965020606,14828606.432964286,14836316.150728123
14829426.723694535,14825176.539905565,14833982.851838214
14826284.863315454,14821487.923178155,14831481.427648839
14822921.922184283,14817523.897338124,14828802.74409633
14819322.487249497,14813258.242740707,14825999.034054214
14815470.079272937,14808648.464282988,14822966.656561062
14811347.082687924,14803676.931502037,14819748.20654236
14806934.715044128,14798328.957439335,14816344.91913509
14802212.908655697,14792578.210289264,14812796.398787135
14797160.252410922,14786395.126846809,14809041.728807077
14791753.896204598,14779735.49034819,14805096.539352188
14785969.471121516,14772575.51945645,14800932.95609931
14779780.99653371,14764879.12923731,14796530.440901315
14773160.776214676,14756607.353054961,14791841.697891535
14766079.282653412,14747718.493489418,14786931.151146997
14758505.103167145,14738168.07385356,14781703.328533713
14750404.76973798,14727908.559078928,14776178.931756282
14741742.695195127,14716913.717731351,14770342.531237321
14732481.015794052,14705139.742662912,14764177.848430665
14722579.490339138,14692502.198582456,14757667.963257877
14711995.374936821,14678940.504960774,14750795.104507538
14700683.298269792,14664390.217782937,14743540.746709423
14688595.132251361,14648782.761970654,14735885.414980512
14675679.859312166,14632045.436438443,14727808.809741886
14661883.453179156,14614100.978741933,14719289.831310133
14647148.735616207,14594867.654217131,14710306.214309994
14631415.260094807,14574258.734883621,14700834.661248947
14614619.211427102,14552182.602161104,14690850.820219355
14596693.254967373,14528529.78991141,14680329.107432766
14577566.465642402,14503192.806662694,14669242.748598589
14557164.204001212,14476078.649682749,14657563.499120947
14535408.062311461,14447074.066731153,14645261.783991827
14512215.782577107,14416060.214032356,14632306.286499484
14487501.210806655,14382912.641724236,14618664.080686757
14461174.284576919,14347501.210173883,14604300.29377896
14433141.039433403,14309690.303278564,14589177.976658389
14403303.650939723,14269338.898519754,14573258.091040114
14371560.51717862,14226300.618864806,14556498.827142268
14337806.37150753,14180424.248675156,14538856.01045512
14301932.488488391,14131553.871315133,14520281.92987256
14263826.86890564,14079529.482590714,14500725.846062716
14223374.540936524,14024187.39803007,14480103.414110221
14180457.956998397,13965361.034475366,14458015.831946118
14134957.370994393,13902881.755688181,14434720.021577606
14086751.401744667,13836579.595308054,14410144.898646727
14035717.600620376,13766284.792683667,14384213.864981616
13981733.160096215,13691828.546514746,14356844.823767727
13924675.713279324,13613044.872384015,14327949.399465635
13864424.209759988,13529771.769127678,14297432.863327801
13800859.918010576,13441853.345476264,14265193.479144143
13733867.518120157,13349141.480802344,14231122.480798941
13663336.29565568,13251498.124837605,14195103.585798152
13589161.438187182,13148797.34893895,14157013.017848233
13511245.409853218,13040927.881115636,14116719.231597073
13429499.41550901,12927795.421225797,14074083.050756758
13343844.923784332,12809325.331130981,14028958.024795305
13254215.256814728,12685465.140958643,13981190.912675735
13160557.14606806,12556187.164769884,13930622.618799688
13062832.380848225,12421491.190640382,13877088.79452528
12961019.367186015,12281406.765239611,13820421.177583773
12855114.611009877,12135995.568404952,13760449.284335308
12745134.188001636,11985353.427146435,13697002.605908003
12631115.025999725,11829612.183214838,13629912.404724192
12513116.046941191,11668941.105588993,13559014.249749608
12391219.095796403,11503547.807278337,13484151.38381111
12265529.64101707,11333678.804137388,13405177.305209676
12136177.212468382,11159619.490151422,13321959.231624387
12003315.546439748,10981693.514020119,13234381.493866794
11867122.39745298,10800261.516783986,13142348.986522796
11727799.030662633,10615719.255006736,13045790.583000869
11585569.347797986,10428495.10333122,12944662.319233239
11440678.697614364,10239046.86055251,12838950.371301992
11293392.316414699,10047858.032786109,12728673.44304792
11143993.47162447,9855433.597262226,12613885.583313564
10992781.32613796,9662295.148349687,12494676.857810127
10840068.509719744,9468975.847208425,12371174.719421487
10686178.47128208,9276015.009401366,12243544.100671716
10531442.691042218,9083952.262698753,12111986.897329258
10376197.760744527,8893322.214929096,11976740.655521061
10220782.410662534,8704648.672034092,11838076.711466558
10065534.508738033,8518439.00686178,11696297.366712276
9910788.13500751,8335179.43212872,11551732.725034174
9756870.761186851,8155330.050715119,11404736.928143715
9604100.566981915,7979320.595473526,11255683.85810811
9452783.930357559,7807546.6107543595,11104962.66850587
9303213.225626785,7640366.495568972,10952973.235512491
9155664.801957633,7478099.032342728,10800121.206349427
9010397.319916531,7321021.708760045,10646813.47962154
8867650.323727371,7169369.62156512,10493453.666528525
8727643.155795807,7023335.193064343,10340437.821717372
8590574.153281987,6883068.308961758,10188150.429036729
8456620.162832811,6748677.260472406,10036960.9576077
8325936.336529872,6620230.148881832,9887220.796676883
8198656.165048902,6497756.73778199,9739260.612738678
8074891.779017774,6381250.739810859,9593388.245366007
7954734.456560231,6270672.406909002,9449887.041485429
7838255.324278133,6165951.386008609,9309014.710707389
