beta1,beta2,gammaH,gammaU,delta,ia0,e0,t1,is0
0.916822520030333,0.5566017885042085,0.14686033039958,0.13669734387679272,0.5699313929716975,5.550418901066943e-08,1.1214539629339197e-07,29.372587308117396,6.525904358743329e-07
0.9340186736604505,0.5037276567895645,0.1858241441616773,0.15130079792193996,0.6932784692655565,2.3330245688662408e-07,1.6840098407770672e-07,29.05895777759116,9.967958723358843e-08
0.8324605595664805,0.5728019176527177,0.12113144420551454,0.10065861747741339,0.6388845741264433,9.201344526841903e-08,4.3426790601784197e-07,29.302500079246144,3.9772614087924035e-07
0.9451179517313433,0.5123944871223486,0.13301666719395486,0.18961654259523095,0.6945958086628599,9.295679830913207e-08,4.4585362365626953e-07,25.73381683733686,1.2516042548149926e-07
1.2982329955706122,0.689218288861869,0.1569141640451653,0.159957143273865,0.4587751932236285,4.75699577276184e-08,4.0693445308671713e-07,25.26402411909099,8.75134947717972e-08
0.9936544631671447,0.5320747889979205,0.15105452542384107,0.15108787571833782,0.6685396533473975,5.4195659413696687e-08,2.3197764808585026e-07,28.10582190108724,1.1976043396686317e-07
0.7811082010814201,0.45467439957362143,0.14009955695628018,0.13584197251898567,0.8162493996099633,1.2171017491065824e-07,3.0217460789973803e-10,28.772518705105114,3.7725053939393376e-07
0.7942797121367494,0.5235723545009735,0.1280844284189467,0.11762904865160068,0.6819647912626892,1.713492175752335e-07,6.063090415449305e-07,26.349768778004517,5.52174429800791e-07
0.8020658077571392,0.474087163054294,0.16592780504249227,0.14521721071190155,0.7285203057659324,6.690570177728008e-07,5.33467798716644e-08,25.765733385124875,4.4482636217522505e-07
1.1459002864862906,0.7131679181074417,0.15073878170203606,0.1678109618818425,0.4284611943010768,3.4580585225409356e-07,4.080121000178109e-07,28.664872356254975,1.4846631998646944e-07
1.3240280169030108,0.699802348220242,0.18576327803296613,0.18012996142233376,0.42940339507724845,3.030076747284947e-07,1.0039653646184361e-07,24.652077514210717,1.3909312359252528e-07
0.8901752642653745,0.5056261464847868,0.14992030141913965,0.07620880840142588,0.7240704586155216,3.066992738297456e-07,3.0197278461412343e-07,26.086912581968956,5.637913663670516e-08
0.8690213120416359,0.5354772706941128,0.12727788907763157,0.15291306546884592,0.6301274192028955,5.95876460532403e-07,2.929303091653906e-07,27.07351560133902,3.2443911146518485e-07
0.819262894810072,0.5032028808375072,0.1491097449734086,0.17156486180666217,0.7074271892312364,5.610132830689978e-07,1.197276801845921e-07,28.598019081042317,2.0454695457312526e-07
