susceptible_mean,susceptible_lb,susceptible_ub
2872334.743284858,2872328.3517605346,2872340.6575249913
2872329.1913303286,2872320.4485707385,2872335.6171149286
2872323.8911480247,2872312.871190425,2872332.257065399
2872318.3873264655,2872305.063186311,2872328.8600849663
2872312.41130461,2872296.701485985,2872324.9330533016
2872305.7895817356,2872287.601917617,2872320.394766733
2872298.347408488,2872277.544358251,2872315.088733936
2872289.9452495007,2872266.414685536,2872308.895840034
2872280.4271473517,2872253.969085084,2872301.665347955
2872269.6453163857,2872239.899009003,2872293.434420828
2872257.424766907,2872224.207521576,2872283.8235423244
2872243.5352284056,2872206.729292431,2872272.792377722
2872227.801566761,2872187.2752260272,2872259.9445461477
2872209.945418729,2872165.6271578027,2872245.074747393
2872189.6682247804,2872141.569623691,2872227.877312553
2872166.667948467,2872114.880540766,2872209.196089419
2872140.5310943853,2872085.4897656483,2872188.063756184
2872110.817549156,2872052.7954559866,2872165.8285737988
2872076.936630287,2872015.9124039514,2872136.9743692577
2872038.769073524,2871975.5051552183,2872107.7803553496
2871995.3139658626,2871930.404219487,2872074.398825668
2871945.8693440324,2871877.15343892,2872036.286794349
2871890.211522194,2871817.6596402987,2871988.2215503473
2871827.9970652736,2871746.7417343957,2871937.329563799
2871757.955434277,2871667.6932435054,2871874.867638033
2871679.8301187092,2871586.4021005994,2871788.38482123
2871594.4609506433,2871490.1747900504,2871698.131108149
2871504.3051189203,2871389.753735257,2871599.512440057
2871411.4288879554,2871289.2956954055,2871515.1884579505
2871316.9072834444,2871181.704190223,2871420.3078132174
2871221.751811206,2871079.1042237943,2871335.504591117
2871120.577203297,2870971.8588794935,2871238.1522510797
2871012.4085578723,2870858.057289963,2871133.43803035
2870897.1715787663,2870737.7420799644,2871023.663241222
2870774.6452205493,2870610.9089346766,2870906.530724013
2870644.4868056905,2870477.3612413825,2870781.164845797
2870506.299259358,2870336.860603148,2870647.003008081
2870359.632246469,2870189.1265730215,2870503.5571096176
2870203.9843274634,2870031.9899904407,2870350.0860138005
2870038.813501905,2869866.0150036938,2870186.391147857
2869863.560893917,2869691.4413413256,2870012.071203774
2869677.5573059823,2869507.7328203013,2869826.495560807
2869480.214225245,2869314.585052002,2869629.176182739
2869270.791357422,2869111.4280980886,2869418.6713376474
2869048.5732668955,2868895.9696563114,2869194.3402102157
2868812.774820835,2868659.7868464245,2868956.027941627
2868562.568742111,2868410.7103877612,2868704.5550374063
2868297.05837825,2868162.5857366356,2868446.3707528897
2868015.3094551344,2867870.801902216,2868181.120230231
2867716.3363393573,2867559.6477608937,2867886.548932205
2867399.083154591,2867228.4124073186,2867579.213154703
2867062.4352621413,2866867.265540108,2867271.612267941
2866705.2067913027,2866477.842798926,2866941.333973057
2866326.1437454335,2866085.279670936,2866610.3582097245
2865923.914487485,2865651.2741260403,2866242.401262471
2865497.1086892076,2865181.272391315,2865885.789216285
2865044.2239536806,2864664.8689962886,2865485.6731086904
2864563.6718104808,2864111.7888846416,2865062.9583876072
2864053.773981623,2863521.1167942644,2864626.5835883194
2863512.7432090403,2862890.3674668553,2864172.0011967155
2862938.693817601,2862216.87904237,2863693.362804774
2862329.617566499,2861497.258274301,2863189.744790963
2861683.3895000275,2860737.4030037904,2862668.9551967797
2860997.773225656,2859932.2180646756,2862124.5328869135
2860270.383182952,2859073.043752251,2861552.7633671514
2859498.700940987,2858156.870659978,2860952.3569741007
2858680.0646009226,2857180.069824208,2860321.996413152
2857811.6442052927,2856138.632475289,2859660.2772638313
2856890.455567703,2855028.5838349382,2858965.7636356456
2855913.340817904,2853845.463205872,2858237.044018117
2854876.957453717,2852584.48682807,2857491.777998725
2853777.77104083,2851240.7326256554,2856717.9042737475
2852612.046323335,2849808.975216341,2855908.893639788
2851375.839158442,2848283.634427523,2855063.407834789
2850064.983752944,2846658.806961516,2854180.0617916277
2848675.080069485,2844928.242358158,2853257.4589065476
2847201.481368585,2843085.3164794166,2852294.144951878
2845639.2947765007,2841113.8002621676,2851288.6552690156
2843983.3540619207,2839009.8478455427,2850239.4802612034
2842228.2194696604,2836773.5931192506,2849145.089248609
2840368.1532057417,2834393.2776049688,2848003.910200222
2838397.1225834303,2831860.106550754,2846814.338319337
2836308.777838084,2829164.8053988814,2845574.745531651
2834096.450929184,2826297.583089698,2844283.475824108
2831753.1277649854,2823248.216526625,2842938.825921247
2829271.455944484,2820005.816718734,2841539.0835596924
2826643.7026913,2816559.0135727436,2840082.446946259
2823861.794150406,2812895.8960170113,2838567.128296004
2820917.259222884,2809003.9439419177,2836991.2650470175
2817801.242771371,2804870.052220362,2835352.927224637
2814504.4925028966,2800480.5054084095,2833650.1738778446
2811017.357176499,2795820.9880324225,2831880.979691961
2807329.776513728,2790876.5607563257,2830043.244913529
2803431.28154536,2785631.681715546,2828134.7779746777
2799310.9964484787,2780070.190496391,2826153.2857500142
2794957.634236883,2774175.3059047437,2824096.358473378
2790359.5089412197,2767929.6712912205,2821961.4442979647
2785504.537440456,2761315.3445227314,2819745.824906973
2780380.252476081,2754313.82138713,2817446.591922247
2774973.821983184,2746903.6562883737,2815060.6199691882
2769272.068603371,2739067.562115287,2812584.5274621984
2763261.490693841,2730785.587589127,2810014.6352566984
2756928.3010669523,2722037.422159542,2807346.9305247283
2750258.4548333073,2712802.4427663228,2804576.990317561
2743237.695882356,2703059.8147358997,2801699.956706931
2735851.6099799876,2692788.5811349396,2798710.4645880815
2728085.672664076,2681967.7349467743,2795602.569523687
2719925.326669365,2670576.3665190325,2792369.695088946
2711356.039867789,2658593.7855108106,2789004.537241088
2702363.39920497,2645999.6780406213,2785498.9983139527
2692933.1860207254,2632774.2671663603,2781844.116591479
2683051.482762124,2618898.460259679,2778029.990494062
2672704.7666517394,2604354.0491630933,2774045.671914366
2661880.030150051,2589123.9507522094,2769879.102308579
2650564.8941508145,2573192.339414468,2765517.0439841063
2638747.743677988,2556544.929179168,2760945.03178354
2626417.843508712,2539169.1646326575,2756147.297494486
2613565.4861201807,2521054.475190139,2751106.733230366
2600182.1305016098,2502192.515093168,2745804.854275342
2586260.5375368386,2482577.4010746214,2740221.836020243
2571794.9132999945,2462205.9935583835,2734336.525285569
2556781.0533336354,2441077.9541873364,2728126.4646782526
2541216.4789395486,2419196.2468083566,2721567.9957908248
2525100.561442734,2396507.2306467863,2714636.364298545
2508434.657762589,2373019.072254009,2707305.918156759
2491222.2112457245,2348797.3233312233,2699550.284570583
2473468.855543032,2323859.0392720457,2691342.581934558
