susceptible_mean,susceptible_lb,susceptible_ub
14873052.440298567,14873045.275492804,14873060.659283826
14873047.427202038,14873036.77590345,14873060.220531022
14873042.492393166,14873029.076619765,14873058.576894766
14873037.232235508,14873020.99800884,14873057.869682448
14873031.399380138,14873012.181562856,14873056.73123859
14873024.799862746,14873002.375102064,14873055.143797683
14873017.26336817,14872991.387782684,14873053.035427473
14873008.621768678,14872979.040585905,14873050.30747345
14872998.688386971,14872965.149701092,14873046.83224506
14872987.241123194,14872949.479449812,14873042.428506609
14872974.063868184,14872931.90113312,14873036.945626149
14872958.895390114,14872911.979316564,14873030.15784515
14872941.406212414,14872888.754820818,14873018.45362051
14872921.256763699,14872862.445104472,14873003.777701378
14872898.021142224,14872832.579578748,14872988.020984476
14872871.27980296,14872801.00265961,14872966.375221072
14872840.43354075,14872763.637905924,14872940.009041272
14872804.824485632,14872719.450188015,14872907.94636848
14872763.73547467,14872669.055646744,14872875.116324576
14872716.266932867,14872611.69254925,14872836.172807671
14872661.43172716,14872546.226398883,14872789.693640944
14872598.105060624,14872471.53205828,14872738.146979932
14872524.916522048,14872386.470539888,14872695.538801966
14872440.266823597,14872294.052098528,14872615.12116951
14872342.927178754,14872179.811422827,14872545.142105399
14872235.982389625,14872066.128921194,14872445.81030237
14872123.423813893,14871949.996027837,14872317.213718358
14872005.519718288,14871833.059380189,14872209.49444241
14871880.375286484,14871705.823593551,14872074.726714414
14871760.070854042,14871568.10896805,14871989.104432328
14871644.650341403,14871447.179181214,14871883.989940092
14871521.121501733,14871316.802118756,14871768.38349803
14871390.114911549,14871178.246121215,14871647.216107385
14871251.835750187,14871029.06538118,14871519.6149108
14871106.248365315,14870872.437429423,14871384.431807155
14870953.171295216,14870708.919920744,14871240.350307683
14870792.337753521,14870538.3492507,14871095.09685541
14870623.417885965,14870360.521893097,14870943.148282873
14870446.065495644,14870175.257678015,14870779.323540732
14870259.853353115,14869982.158653729,14870598.412567448
14870064.357491752,14869775.193784755,14870407.200152088
14869859.1259684,14869551.716027675,14870203.671109805
14869643.672055906,14869317.608128086,14869991.076159263
14869417.460002055,14869076.378029851,14869765.398985075
14869179.949167619,14868831.942338316,14869529.333074685
14868930.556095632,14868576.162623802,14869290.73339988
14868668.792812955,14868308.704757493,14869045.48390065
14868393.922926735,14868028.736546898,14868786.178218227
14868104.983150208,14867735.200553099,14868511.556575665
14867802.179768825,14867440.416354338,14868222.66590718
14867483.993878158,14867136.10469942,14867917.01926214
14867149.892458225,14866794.633603258,14867594.133925667
14866799.177484905,14866422.56421588,14867262.719067361
14866430.820178458,14866055.30796048,14866892.948404042
14866044.134818707,14865649.350886265,14866512.800266843
14865638.038416123,14865219.36016701,14866095.731351605
14865211.580770863,14864806.889000438,14865686.349723753
14864763.70560353,14864346.416016834,14865284.382570446
14864293.37380883,14863856.058732608,14864850.28433647
14863799.67728522,14863325.122296426,14864396.885980718
14863281.145607494,14862752.371505966,14863959.49880772
14862736.584429467,14862169.277271667,14863482.09148845
14862164.721172633,14861497.49518862,14862982.61126366
14861564.177941367,14860802.52349371,14862459.487016832
14860933.501264634,14860113.850080974,14861912.238974478
14860271.185511582,14859330.653744614,14861339.469857804
14859575.625358192,14858520.49459672,14860714.773544408
14858845.127357623,14857665.231184948,14860112.022796506
14858077.95851947,14856731.351027993,14859461.683583252
14857272.253142681,14855738.576505767,14858802.101721555
14856426.093037331,14854690.09269295,14858118.637604114
14855537.40986142,14853598.19694588,14857449.231268143
14854604.087575573,14852445.289344657,14856786.099216618
14853623.871881176,14851227.993857903,14856129.318333512
14852594.394510804,14849942.795623247,14855391.36712719
14851513.174368331,14848585.952343272,14854603.222407747
14850377.606295563,14847153.579349043,14853784.568771632
14849184.962536888,14845641.547820322,14852934.273380639
14847932.363814736,14844045.531377617,14852051.336530712
14846616.783118295,14842360.947740559,14851161.010558585
14845235.074059375,14840583.041507492,14850244.27996119
14843783.912181156,14838706.743593423,14849216.759955809
14842259.802812215,14836726.705048695,14848169.699693592
14840659.087247062,14834599.997021427,14847105.916812345
14838977.91265908,14832328.901052767,14846008.64669325
14837212.249847718,14830008.338702342,14844915.006781781
14835357.865141688,14827560.78891589,14843785.189947458
14833410.301306808,14824979.419785077,14842579.775434561
14831364.909044055,14822257.100216236,14841230.839500144
14829216.784223495,14819386.291669186,14839841.751533257
14826960.795770183,14816359.062651467,14838471.530810418
14824591.56484104,14813167.078151353,14837051.999976287
14822103.445179401,14809801.579501633,14835581.643643681
14819490.511827324,14806253.36859728,14834059.039301852
14816746.553723402,14802506.928335957,14832482.673885632
14813865.059949156,14798544.394445097,14830850.973421222
14810839.212173859,14794366.67793595,14829339.292609438
14807661.847819788,14789962.41738683,14827859.13385421
14804325.47338374,14785319.720443996,14826349.882140337
14800822.245614216,14780426.126139585,14824812.54183972
14797143.93184374,14775268.445155403,14823248.216872053
14793281.906003628,14769832.806433847,14821658.404031938
14789227.157606479,14764104.835327195,14820044.634465868
14784970.227333298,14758069.310148302,14818358.112281282
14780501.244646342,14751710.357126387,14816467.897653222
14775809.861305391,14745011.276347602,14814532.560119733
14770885.243062416,14737954.558634384,14812552.305147424
14765716.097830692,14730521.934030209,14810527.563727213
14760290.578553028,14722694.184193203,14808458.721241226
14754596.32676882,14714451.237814322,14806346.336599408
14748620.431287073,14705772.11548848,14804191.128772544
14742349.378147561,14696634.775538016,14801993.936181623
14735769.092987172,14686967.926369552,14799755.842103645
14728864.886587784,14676788.101536008,14797477.921503032
14721621.40814548,14666073.109123128,14795161.370912852
14714022.684447354,14654796.491213832,14792807.616454879
14706052.039429218,14642866.466404717,14790418.14992214
14697692.124352317,14630257.34485658,14787994.640050117
14688924.858871035,14616990.167555695,14785538.868514149
14679731.463951176,14603033.102035023,14783052.898581723
14670092.369645696,14588352.966275921,14780538.87138513
14659987.261936273,14572915.260859972,14777998.840808552
14649395.059085963,14556684.136777075,14775435.18845872
14638293.8514519,14539622.336991021,14772850.161796609
14626660.947810685,14521691.236748,14770246.225517444
14614472.818773398,14502850.724583441,14767625.755689047
