Infec_mean,Infec_lb,Infec_ub
0.0,0.0,0.0
0.5717838372213571,0.3725177259585406,0.807490217233596
1.5983750630321334,1.1128439281175782,2.13486496766471
3.009592151169696,2.08579910092182,3.9309434166341104
4.812370962907675,3.2859329571888094,6.189098188300825
7.052066818769489,4.607228253699052,9.071661622051483
9.804584255910209,6.1839504532884,12.610694966083786
13.173323382838163,7.880691354662947,16.83951432068118
17.28747484532718,10.13625843820185,22.118367466426527
22.300128370092576,12.638631101609949,28.670358643117478
28.374311809913518,15.730228130902445,36.02173442716039
35.64898478043118,20.341050272959343,45.617679661461636
44.22586919565832,25.18002042662509,56.89345530302012
54.137580958637756,32.58915048965237,69.59118254575111
65.37132226307037,42.50696982048614,83.72109996920759
77.86038534964003,52.218007127516124,98.78401917106106
91.5313832107963,64.51525297657331,115.06389937210244
106.32642005129699,78.31430060514639,132.63286592264078
122.25140221193362,93.32395899540838,149.41468188158288
139.3430660673706,109.44551807457869,166.07688390290906
157.65256036936282,125.87583063841836,184.84405447536884
177.2454838631448,144.16959139092637,205.09965080425934
198.21546717852888,163.80094032760968,227.72108934690667
220.67160539936808,183.95701637751102,252.28114872560903
244.73052481721865,204.67658960302325,279.32712607480147
270.52620049977526,227.906351665761,306.9360988888546
298.1997571262299,253.25225072367607,337.394046486881
327.89196567676606,280.77297809080113,370.3878179022328
359.75703539493855,310.33246852058323,405.0189498394137
393.9574174972868,341.1401028589193,442.1804639585261
430.66613924900867,375.18434705855344,481.83814081765576
470.06846149189084,411.3597940882654,523.9847152430235
512.363277435612,452.02919411413586,569.1151413585565
557.7639596926649,495.96441788023134,616.5674737880278
606.4994930859865,542.6314613888918,666.6976043801599
658.8151868270832,593.5802253073385,719.9666429281655
714.9748372525994,648.3886731972309,777.537087146526
775.2616874045867,707.2238994559103,838.874313653463
839.9797413658068,769.2430225902617,905.423390512077
909.4557441902745,837.6265565466233,976.4768347077046
984.0399200810564,911.2789601348185,1052.649426047421
1064.1083945430187,987.7084612036413,1134.64187294497
1150.0639736582953,1072.7973024831929,1221.811688769629
1242.3396375665434,1162.1079219888825,1315.7401536581924
1341.3999054804651,1258.484885525275,1418.809662886583
1447.7421850581363,1359.6871051074609,1531.4270515864164
