exposed_mean,exposed_lb,exposed_ub
5.9427102020474685,2.1468290434417496,11.064202521604393
16.36946146882888,11.397555309475532,21.745175562270873
24.435856130396942,16.877284934702985,31.569724925068797
32.053801423449976,20.99044561156891,41.467893067543024
40.20709900928126,25.107850779269203,51.57379962809615
49.60703351907973,29.427802416843804,63.92861283492784
60.803432675490285,33.88668730335334,78.05778542062498
74.34491529488612,37.55925730648186,94.97905275505542
90.65879894925217,42.72490068056561,117.33959102652193
110.23676910062252,51.355388649796566,144.11790342911553
133.02089420014542,57.516866595816296,175.43657945166686
158.33417175337652,81.41816685706931,209.41645521595547
184.82160098859646,110.43416811446286,244.76901605753653
211.49563817704214,139.23531218624726,276.7060246008608
237.52589576999844,155.14056103113518,303.45444822217723
261.7262419199404,182.90424153485793,323.85889290614057
284.76342138796286,207.61230095370232,346.25993915182954
307.12395310417133,220.17545820926986,368.9509532180475
329.93416563621577,244.50799734324067,393.4057622508016
353.7956000722679,268.68623121078645,418.7659359740056
378.75849251511505,292.2528221191408,444.51344080102416
405.20908632388154,319.3276419086053,471.64717525492915
433.863961842578,351.42987009540025,500.24227582734113
464.6917294621005,385.01881197766136,530.1713205295807
498.06673999359714,418.96759674790394,562.4515851821009
534.18849056936,456.8538599805204,598.9400867127472
573.1360827482704,498.3286309164892,636.6870041365914
615.0416923146738,539.8882466537196,677.799795013938
660.086305057887,587.5268451765655,722.6119406774059
708.4789582845755,639.1622901002772,768.9814035602373
760.4531129965808,694.3938219957611,819.8904396883879
816.2655219955238,752.2801397162585,875.3038405507746
876.1958111172403,812.4511331233033,936.0333974643864
940.5456727105942,874.3323831998229,1001.2736806530824
1009.6397063929624,942.4101816738198,1070.8717927850957
1083.8257429264384,1013.0696379081814,1151.8503369396014
1163.4775625083187,1082.7248608616526,1238.8430733307096
1248.9961851454862,1156.1215464827649,1338.2417251670533
1340.8116248974823,1231.3378849649193,1445.6746501107325
1439.3858589684824,1313.5160150737188,1559.501369781252
1545.214270305274,1402.4474334296347,1682.3152809682856
1658.8286849962785,1496.2292704803147,1817.076898033314
1780.7972280187957,1594.7654177627137,1965.3760867678325
1911.7295423345115,1697.8363520770208,2127.6119162063505
2052.278372574625,1807.1240597632525,2306.1343608688953
2203.1420991063155,1921.997774762937,2491.9699675588054
2365.068699413686,2035.9403957261115,2693.8839717811156
2538.8597417327555,2157.5717996390986,2909.4566272855495
2725.3686632492286,2290.542340668947,3151.838668267589
2925.5116535514603,2426.728173455826,3405.253787158481
3140.2666170959424,2569.226589862864,3684.179931097828
3370.6794899506253,2725.6157698679704,3985.640259757723
3617.865859144027,2892.5105002853447,4311.35573805368
3883.017249144178,3069.066060823193,4662.828230479128
4167.401071969684,3251.4769263969747,5042.0007544186155
4472.370772026868,3440.747984853058,5450.959716263923
4799.365999989195,3638.8774005073737,5889.295481532342
5149.919366439573,3845.6837761993593,6350.800408944338
5525.66054956732,4062.828635966321,6849.746740681034
5928.318876247105,4287.097487127354,7390.422211867294
6359.7290760378255,4513.430618035989,7974.583012206365
6821.8351635423405,4749.245258827478,8603.161356259952
7316.694293124553,4994.6873750054565,9279.31797143455
7846.481639921626,5265.138878177859,10006.852817845036
8413.49041604329,5551.655857485277,10802.81522441196
9020.13721054508,5851.487450457836,11663.08202747078
9668.961312588184,6162.810871688357,12587.801125052967
10362.62829653971,6492.953129765764,13581.294040301362
11103.928028259228,6856.294909267143,14648.11774757415
11895.773983243853,7238.143245382544,15793.167948706896
12741.199953748197,7639.376142174138,17021.175266316175
13643.355922840161,8060.925887925436,18337.256097027028
14605.499631168512,8479.50880714488,19746.703831175884
15630.988064922483,8912.329108364538,21254.972155528238
16723.2649641938,9364.014863867009,22867.65299733918
17885.84619558651,9835.40408195755,24590.44333325416
19122.300805456893,10327.416859574962,26429.117452164515
20436.227267654656,10840.9356081004,28389.47626500612
21831.22745307006,11374.472364431285,30477.301078192064
23310.872625724394,11931.837964769325,32698.29298257132
24878.665312419744,12514.571396306219,35058.00358537922
26537.997510017205,13124.471121758033,37561.75478026001
28292.100697437792,13755.619619064448,40214.552850398075
30143.99206720594,14378.535922941594,43020.97953661035
32096.411709990403,15029.633641942863,45985.06164810166
34151.75092530551,15711.717856303228,49110.14055183499
36311.97693634859,16428.0810846557,52382.70110852832
38578.54952836597,17182.66071747555,55813.96425944872
40952.33859484644,17980.023493041066,59408.56099591318
43433.53014475616,18825.35287704372,63165.539603854246
46021.52541063423,19724.50150046507,67082.48226865071
48714.84427488463,20684.16060771561,71155.32490800443
51511.025012873084,21711.791656369493,75378.1701007318
54406.53010384667,22815.562051363857,79743.12189796759
57396.64851388243,24004.355356483873,84241.10972218972
60475.408065887204,25287.79966341702,88875.02361793947
63635.49970234612,26675.990909965913,93623.51681526372
66868.2201482351,28179.441995153116,98462.03815723483
70163.42288813108,29808.872692434845,103370.7629691865
73509.49450974635,31574.951453972346,108327.24985233152
76893.35822589057,33487.9987978283,113306.48638750476
80300.50365181148,35557.65459383241,118280.96247506113
83715.05139593987,37792.50268383736,123220.94562539205
87119.84674477384,40197.41819263663,128094.56000530439
90496.58847923815,42778.84214001012,132867.79054382117
93825.99456749174,45540.44299532178,137505.33281605787
97088.00081578335,48482.34443272828,141970.82485750917
100261.99007848089,51601.49037418714,146227.32333477843
103327.0508646693,54964.513524054855,150237.7818981936
106262.25650748158,58528.86490745461,153965.68434028438
109046.96526848215,62237.0042961594,157375.6206798802
111661.1259454915,66068.04800627318,160433.89490338595
114085.58433514995,70003.11303219943,163109.0977069152
116302.3906197804,74065.95210117789,165372.71393248765
118295.08241003897,78235.81932567591,167199.70883097453
120048.95059333133,82337.15271276617,168568.9735933884
121551.27105877957,86339.04813554377,169463.74519105238
122791.50637338436,90182.84171941094,169871.96536986233
123761.45768354564,94523.56296842889,169786.52075880292
124455.37317182694,98280.48140553887,169205.3824206944
124870.01373996102,101572.11592976225,168131.66085648892
125004.65931677242,104884.93851227182,166573.53070062556
124861.077169394,107113.72987823497,164544.06564724777
124443.44232014222,109232.95802985289,162060.9799026695
123758.21363942794,110675.81571407046,159146.30762311973
122813.97719675153,111338.95548818764,155825.96123709547
121621.25778036437,111579.19327116772,152063.68974042154
120192.303273725,111191.29536125979,147954.64397744252
118540.8561004274,110305.07567237047,143540.65221245732
116681.9069834265,109303.15266960119,138883.22584614647
114631.44845117962,108046.7213192179,134253.8553560057
112406.22686217877,106061.8980114728,129358.12935124172
110023.49893121276,103574.58982239048,126475.36709766032
107500.80043480756,100817.78768284664,123174.34745023264
104855.72985945469,97942.79859966734,122140.70741320022
102105.7473493926,94664.27239168962,121053.92746423704
99267.99547969124,91342.44240691364,118823.91215664771
96359.13751443556,87746.31475161582,117218.2184590601
93395.22174995542,83902.25697145608,115372.59656003439
90391.5663490639,79791.0536400805,113083.0314415392
87362.66460624374,75660.06425047587,110298.07672310475
84322.112989218,71426.63387916109,107911.29160436789
81282.55776528036,67275.9038771058,105373.25142523233
78255.66060559332,63172.74631440927,102705.69987377667
75252.08036596337,59043.425210404166,99929.72632625833
72281.47049207306,54977.3099745108,97065.57071552452
69352.48721088054,51159.825518179816,94132.46711442267
66472.8119537919,47354.222646875496,91148.53393689854
63649.18128622309,43610.87431771992,88130.70382334739
60887.424848144794,40084.53219050897,85094.64861748536
58192.508235708265,36698.18423242884,82054.76165714473
55568.58300306615,33371.05178468438,79024.14861352835
53019.03824664373,30273.704134659707,76014.63475980324
50546.55427688063,27368.751471095988,73036.80155323274
48153.157188132194,24625.148734446462,70100.02137707453
45840.27360104684,21710.902875853764,67212.50518554548
43608.78574213325,19300.34877168236,64381.36558035592
41459.084813281304,17064.6091014946,61612.67589836216
39391.12086829768,14996.538540511465,58911.539522189705
37404.452455798106,13154.511911099955,56282.16931609802
35498.29351631871,11471.97401706774,53727.94313672434
33671.55787200096,9928.914020218592,51251.477672848094
31922.89894784716,8517.417947104655,48854.70903349861
30250.74779983528,7229.633281026334,46538.95019147899
28653.349269189934,6057.835519233402,44304.95409315732
27128.79459273514,4994.483865782975,42152.97153799525
25675.049332098737,4032.255777619899,40082.81294424946
24289.98127457623,3164.0773510073086,38093.91050811711
22971.38341718082,2379.068386465624,36185.36051270018
21716.996351732687,1647.6207225188737,34355.96721534406
20524.52710469683,993.3862874139995,32604.284404786336
19391.665787366874,410.16628179159306,30928.658635485117
18316.100926874704,-107.44690574215565,29327.312907038395
17295.53195946434,-564.7802158106388,27798.267220117516
16327.680712188274,-967.7668674098604,26339.414280408055
15410.301001129852,-1320.825482981667,24948.595193359026
14541.186090571116,-1627.6359449464271,23623.590006390878
13718.176040510876,-1892.3207553502107,22362.1376764011
12939.163167323062,-2118.705742762173,21161.952072666
12202.097191635252,-2310.350652012972,20020.73737905959
11504.98773256562,-2470.556720902765,18936.205773951526
10845.907523936423,-2602.3779344692284,17906.088601674117
10222.993947305236,-2708.6399555497756,16928.141117297302
9634.451077223324,-2791.9519754249704,16000.156011750478
9078.55048946922,-2854.7019950552713,15119.96602413239
8553.630834373625,-2899.0888397221734,14285.45386368909
8058.0974721541215,-2927.115750454349,13494.558429667963
7590.422420152433,-2940.636550217686,12745.27622188158
7149.1430902555185,-2941.3356108353237,12035.66324615753
6732.86169909825,-2930.7484261793124,11363.841610858468
6340.24350468857,-2910.2706851336543,10727.989965992696
5970.016149150997,-2881.1759639924385,10126.353933359715
5620.96625867143,-2844.61795590362,9557.247770555892
5291.9386941779085,-2801.640682712028,9019.051925279427
4981.834358937507,-2753.1853247270683,8510.206149316979
4689.609396398437,-2700.1063270562754,8029.225920140136
4414.271122111585,-2643.1687568437756,7574.680000744475
4154.8777712091105,-2583.062989805984,7145.199916117112
3910.535663495944,-2520.4066073459067,6739.479246863739
3680.3978460391395,-2455.7529554225234,6356.274026695388
3463.6621734214577,-2389.5960093894164,5994.3975601254615
3259.5684395917015,-2322.3745233362642,5652.7136601044895
3067.3974420161485,-2254.478021749077,5330.145699475483
2886.4682732109827,-2186.2498187486076,5025.6652053134985
2716.136202322755,-2117.9945941235155,4738.294132944102
2555.792734475555,-2049.9775118531793,4467.1062108334045
2404.862759771237,-1982.4318278374344,4211.220744023731
2262.8024675987244,-1915.5614386475863,3969.801106337276
2129.0984213141637,-1849.541908376163,3742.051643555565
2003.266246565524,-1784.5232262154268,3527.220340449689
1884.848394817591,-1720.6315148767806,3324.591912749184
1773.4130025270904,-1657.9734506805964,3133.459907786042
1668.5525393566909,-1596.6384635850186,2953.16656833986
1569.8828962779958,-1536.7005917702477,2783.1591663152826
1477.0419464792424,-1478.221177032369,2622.8695039998765
1389.6882676805724,-1421.2530815064404,2471.746949788988
1307.499731874187,-1365.8222129876285,2329.2765787774874
1230.172822391362,-1311.9519101311994,2194.9716478333958
1157.4219302377303,-1259.654146291283,2068.370023057979
1088.9772345783329,-1208.9347536002736,1949.0339898530094
1024.5845874232514,-1159.7942709663494,1836.551340596909
964.0052323779266,-1112.2292401412417,1730.5343150659914
907.0140566184374,-1066.2315452999474,1630.6167244002727
853.3993748668717,-1021.7895696723082,1536.453288470746
802.960967064934,-978.884310979865,1447.7120546471251
755.5111797683494,-937.4920020853974,1364.0833705880002
710.8739087093908,-897.5880894120593,1285.2777788932258
