susceptible_mean,susceptible_lb,susceptible_ub
2872327.5803350774,2872320.8549759355,2872333.8180300607
2872314.294664624,2872303.798737268,2872323.734223465
2872301.095313834,2872286.780942729,2872314.958743964
2872286.4212831003,2872267.78079668,2872305.405864194
2872269.2540914556,2872246.3694092073,2872295.5195978703
2872248.655677667,2872220.1362548815,2872284.4142063526
2872223.696691324,2872187.298200081,2872270.8992330227
2872193.31151307,2872148.154510782,2872257.24830859
2872156.4268721035,2872102.3315053754,2872241.4562703567
2872111.7856343286,2872046.3024119195,2872216.5835339692
2872058.6305920295,2871975.270516415,2872187.511980704
2871996.943949624,2871896.244394045,2872153.9326364365
2871927.5720983124,2871807.191893319,2872086.740601618
2871851.339502309,2871713.5521332272,2872011.216527624
2871769.140538194,2871616.079955034,2871926.4251308837
2871682.4948766115,2871514.2176285665,2871844.242209053
2871591.102707838,2871419.5920726606,2871755.106764222
2871494.7669919184,2871333.8979133884,2871668.3039888004
2871392.331868584,2871233.7034160024,2871574.1553434227
2871283.01211487,2871121.0748594427,2871473.1932256366
2871166.5017509176,2870993.213306265,2871367.2268756917
2871042.08653964,2870858.2357859514,2871253.2636530725
2870908.5817475445,2870709.8147339877,2871134.61859619
2870765.47328882,2870551.1222639885,2871004.6594040734
2870611.8036812,2870382.736381728,2870862.3409611494
2870446.703552211,2870204.825695269,2870715.8823909997
2870269.3881769,2870012.545643395,2870552.181674867
2870079.021524581,2869807.442523657,2870377.055599116
2869874.6515632467,2869588.6801330876,2870184.162747713
2869655.2569995085,2869352.7774328217,2869980.005082363
2869419.739236038,2869107.643114291,2869752.837249685
2869166.9152158247,2868845.9262136617,2869508.9137019264
2868895.510846984,2868568.9793813233,2869244.040224852
2868604.1575741055,2868270.0146370013,2868956.475557353
2868291.385873457,2867954.7369927177,2868649.8825508785
2867955.6213682173,2867611.323183269,2868327.372191628
2867595.171296508,2867240.702445078,2867980.766949654
2867208.2184231114,2866847.9842175897,2867589.7607965637
2866792.8127135527,2866425.0507244025,2867191.034583139
2866346.8584653595,2865972.382156926,2866747.054823429
2865868.1091745687,2865485.7621194986,2866284.9326801836
2865354.1523875683,2864948.59857652,2865789.9593092436
2864802.405948969,2864367.3967798506,2865262.041538493
2864210.0953151123,2863740.0867485763,2864722.0360348816
2863574.2451453027,2863042.856104859,2864186.360103793
2862891.6700208825,2862280.436056857,2863611.2626049817
2862158.9509715824,2861432.952332584,2862991.9677709895
2861372.4157354175,2860518.336496843,2862304.1367306286
2860528.1473748614,2859569.1429782733,2861598.360289219
2859621.9324274813,2858508.5077732047,2860835.32340536
2858649.265673566,2857360.2901045107,2860015.9529759223
2857605.3156335233,2856137.669009558,2859152.3874401585
2856484.9183373214,2854779.937097728,2858259.1504232055
2855282.5370220463,2853292.5068908483,2857300.5748848836
2853992.2613036064,2851698.799101239,2856349.0176907354
2852607.7583000152,2850023.29735909,2855341.254217787
2851122.26599695,2848192.6796518425,2854264.812506264
2849528.5548633463,2846192.032918883,2853122.900867012
2847818.9027572623,2844054.268255898,2851935.609613124
2845985.071785226,2841737.61806165,2850676.778527575
2844018.269702703,2839215.2537255613,2849287.462451127
2841909.1228519604,2836490.065719056,2847824.347392822
2839647.6488104067,2833550.182698552,2846275.799053872
2837223.2108637686,2830379.5878497446,2844681.2820474943
2834624.502820011,2826961.176168272,2843013.106338928
2831839.49980027,2823276.709979662,2841255.543338114
2828855.440391802,2819306.7911210675,2839423.189983735
2825658.7843472073,2815106.4409957025,2837499.401518689
2822235.1845835242,2810619.3163447003,2835498.984437613
2818569.456661312,2805763.3916684394,2833474.679005183
2814645.5549171506,2800526.8341358183,2831359.77589546
2810446.54424563,2794899.328034673,2829151.616882904
2805954.5788994287,2788854.311961681,2826766.509513894
2801150.8844951843,2782342.9672322785,2824198.7379723876
2796015.7544608437,2775344.412591807,2821504.327722138
2790528.538129363,2767767.3596841325,2818687.394491748
2784667.6436117124,2759553.724645905,2815745.875859534
2778410.5565515873,2750743.6495065126,2812531.491256424
2771733.854991003,2741300.205792432,2809090.8084406285
2764613.253407692,2731185.1086747334,2805465.7991428194
2757023.6479421784,2720358.816264536,2801646.363957815
2748939.1823750953,2708780.6552698887,2797639.417996326
2740333.330356907,2696408.973573433,2793630.5938357604
2731179.001569051,2683201.358693195,2789424.585600225
2721448.659877395,2669114.8570522503,2785010.2316744095
2711114.475754453,2654106.2749507586,2780375.169465762
2700148.4965134133,2638132.469033632,2775505.7623153306
2688522.8461561226,2621150.7443338693,2770386.8430825286
2676209.945709019,2603119.267491854,2765020.6630815044
2663182.76742151,2583997.5359444185,2759376.549514348
2649415.11653454,2563746.898758024,2753429.9020942915
2634881.9367909958,2542331.1358754537,2747158.0278396327
2619559.645696811,2519717.079633166,2740535.8975276495
2603426.4828165234,2495875.2344576716,2733688.267868979
2586462.8924415945,2470780.492228053,2726648.8680569082
2568651.9121815367,2444412.8268631026,2719205.9933710927
2549979.5753244814,2416758.0573766734,2711324.630082174
2530435.310586422,2387808.5142764016,2702966.7701869765
2510012.3449052377,2357563.7801533407,2694091.541045781
2488708.0935288356,2326031.3527255277,2684655.4656830835
2466524.5200840817,2293370.3459590464,2674612.7274396783
2443468.4694518507,2259536.377455244,2663915.7266770266
2419551.959720459,2224510.164146318,2652515.6375170024
2394792.412867139,2188337.011239325,2640363.139750365
