state,beta,epsilon_E,epsilon_Q,epsilon_J,Pi,mu,v,gamma1,gamma2,kappa1,kappa2,d1,d2,sigma1,sigma2,y
Brasil,0.18690925271069034,0.40112620955930023,0.4073087151669193,0.6829902078259703,404.4202019684589,1.5096925231824803e-05,0.06296151877870136,0.0065701892848816085,0.024410831808109407,0.12775097308409375,0.13358801372613957,0.055112696433382825,0.08293163694583786,0.002137232874314855,0.0069366136293229075,1;1;1;1;2;2;2;2;3;8;13;19;25;30;35;69;109;120;147;231;301;363;535;695;1013;1206;1621;1960;2267;2564;2988;3468
São Paulo,0.2069872260641123,0.05060221505048684,0.23283043311713963,0.9006878637680188,366.5501727925623,2.26343992719533e-05,0.05331961964426973,0.13007271715294957,0.27768865856972785,0.22759768927589347,0.15491342528024996,0.03227711865009453,0.019817384612299864,0.006761239700330129,0.025926215020103362,1;1;1;1;2;2;2;2;3;6;10;13;16;16;19;45;64;64;65;136;152;164;244;287;396;459;631;745;810;862;1052;1223
Rio de Janeiro,0.390109236007028,0.4117289310439568,0.211827274953802,0.5002868501342606,249.74171862512816,2.7073631446008972e-05,0.06635583941774832,0.11655108568735227,0.44942467767428285,0.22203555922501392,0.2571269616751868,0.014729557292437445,0.0878756401132392,0.004180191033877502,0.017121775461409052,1;1;2;3;8;8;14;16;19;24;24;31;39;63;66;109;119;186;231;303;370;421;493
Espírito Santo,0.37070158258735064,0.3522010701309403,0.019712523379981084,0.975631688977312,0.33275868260562724,1.988999500598302e-05,0.0049163076600312276,0.06847205389037112,0.01902257783867077,0.18235694500727867,0.10977824473275292,0.015742243340713846,0.053508680397505254,0.010336865381688176,0.0764185347885924,1;1;1;1;1;1;1;2;2;4;4;8;8;11;13;16;26;26;33;40;40;48;54
Bahia,0.37677331978572864,0.33514806763117727,0.49877751339234755,0.3436322203644876,46.36687398664027,4.658471144622952e-05,0.014993156322132037,0.15106927870004014,0.07807612629062113,0.2860140501357507,0.2200603741451319,0.01702905775567944,0.03482317008329258,0.006408227969922021,0.027710249777891917,1;2;2;2;2;3;3;7;7;9;10;16;27;31;34;41;55;63;79;91;108;123
Distrito Federal,0.39225780769464486,0.39155529244808535,0.46102843365199087,0.7009467226333099,355.79529285459375,4.3481583874463e-05,0.023967411349560486,0.2524117021829098,0.5465074707736746,0.06238752790889067,0.1891849880610202,0.017810746096881828,0.014047862407929636,0.07166868008241023,0.06763311645860265,1;1;1;2;2;3;3;8;14;19;26;36;84;108;112;134;146;177;195;203;242
Alagoas,0.34970550335538414,0.44687861378980703,0.2635660788454161,0.7384132777289187,60.131965050718065,7.046928760451358e-06,0.06398874547544786,0.27161303737639414,0.07472100244898751,0.2719447125985496,0.13719433572888437,0.09578248170325125,0.016414377059577434,0.0165085169612075,0.013776547093210169,1;1;1;1;1;1;1;1;1;1;1;4;6;7;7;8;10;11;11;11
Minas Gerais,0.39890775651275445,0.45887286789325293,0.3400846831374974,0.9431922176010804,317.56930074398383,2.8411327040453657e-05,0.07882725760099196,0.2801941980042593,0.5860482861287135,0.11889010163092054,0.19874321088222835,0.022656498112931217,0.00891523052817024,0.08194536781596697,0.05117250050347149,1;1;1;1;2;2;4;4;7;14;20;29;38;55;83;128;130;133;153;189
Rio Grande do Sul,0.3905279643690163,0.43683209174662585,0.4815141043167125,0.9493874781555913,483.1606703559563,4.883989724955118e-05,0.02843373187511783,0.11708488258391425,0.46835694027272007,0.03219391094100401,0.08083206437085605,0.06644231966808918,0.0831982055508515,0.03583292290319755,0.07818178158624922,1;2;4;6;7;7;11;19;28;37;60;72;85;96;113;162;190;197
Pernambuco,0.28005770608888775,0.331708717232172,0.018538379089752588,0.5465902033541933,401.5849791514373,1.998927514912925e-05,0.09881166158940886,0.024328895163670528,0.05598779316360719,0.1696064817078612,0.12291197540461236,0.04035954322630115,0.03288514764296741,0.010991103730171493,0.030173601096227406,2;2;7;8;18;19;22;28;31;33;37;42;42;46;48;57
Paraná,0.24485821309080727,0.32078103994576707,0.26319403739687997,0.5411421685578953,409.4257205099892,7.835904067707734e-06,0.07671003189345192,0.0321238208162344,0.052241568056780874,0.2888360190189285,0.08849236135118167,0.03518315604366893,0.0962492704516367,0.017707688336409164,0.033065440589306085,6;6;6;6;8;12;14;23;36;43;54;60;69;97;106;125
Santa Catarina,0.38126014961449517,0.04196422702130606,0.35565215791735233,0.9839433673663784,318.79273520010264,4.116313160412712e-05,0.05175647453349652,0.047417549417726065,0.10790429259265782,0.2761067717818605,0.24786794548728097,0.029536338972656277,0.01799791376218076,0.011032964788981116,0.0449242574825376,2;3;5;6;7;7;15;22;41;58;69;87;110;122;149;163
Goiás,0.23970123864422346,0.47351305843575786,0.33744461722158076,0.8266119900700638,255.4776789415824,5.5241966601781324e-06,0.07054589962902252,0.036196847669571375,0.1061299217990157,0.2839851692230141,0.2362438259823832,0.027159886218375662,0.04722204018543964,0.030991439762418152,0.04678649265972175,3;3;4;4;9;10;12;15;18;20;21;23;29;35;39;49
Rio Grande do Norte,0.17807483969856677,0.4988594832615784,0.4718141540953955,0.5864395450357366,334.8998245597764,3.527861912740384e-05,0.08850797301011222,0.008506123484672834,0.0024862390552577106,0.22660178460329508,0.20867788776199805,0.056427880583687876,0.08459844001274502,0.05026957269266517,0.04172860731001671,1;1;1;1;1;1;1;1;6;9;13;13;14;14;19;28
Amazonas,0.3882581423166589,0.477150402591462,0.49972430119451333,0.9105771258422887,234.76668763671373,1.7323348623847113e-06,0.08406214619605315,0.19598584828315738,0.2532490204160462,0.2636717577651862,0.24255518179426777,0.08392805634263198,0.05518034995970611,0.052203051824810824,0.014279267634908513,1;1;1;1;2;2;3;7;11;26;32;47;54;67;81
Mato Grosso do Sul,0.35207370851985975,0.456773571719198,0.2758997374469873,0.8528988621452464,73.44636775849881,4.6399608136659236e-05,0.0026902081113183637,0.09595926109347469,0.0480820854102853,0.23430356349530285,0.13417914737769862,0.020493890487491978,0.07223990077041298,0.017532864994038628,0.0842881754067021,2;2;4;6;7;9;12;16;21;21;24;24;25;28
Sergipe,0.2532441466727837,0.48693593116557016,0.23180597727698754,0.0033117833151938628,95.96299921397433,6.415243045547218e-06,0.03131872540651768,0.026351842464431584,0.0024826564756394963,0.29144835743403397,0.038803875053601895,0.004160877459971158,0.01907035274082698,0.05534743628415184,0.061051886619777854,1;1;5;5;6;6;7;10;10;10;15;16;16;16
Ceará,0.39960681251945507,0.3664880228720074,0.2835604961900158,0.8009995628294752,445.3265237313615,3.709543180578414e-05,0.06970006093547214,0.05448076790355061,0.1447570813617444,0.2950273031579132,0.1725955202825117,0.052504586166593585,0.08236475424304268,0.026155024444531796,0.09619960399319386,3;9;11;20;25;68;84;125;164;185;211;238;282
Acre,0.35318837406172937,0.22806689815836398,0.05240195206902454,0.5849714266960605,388.09875211345525,1.3507066092705224e-05,0.0950551921633966,0.04309310997416407,0.0036872722882517633,0.2796526981314401,0.1562017965507264,0.002143370719003156,0.025578084025164084,0.04255055751779084,0.006730864943940464,3;3;4;7;11;11;17;21;23;24;25
Pará,0.3658694654196972,0.1800772873668827,0.0491004756821643,0.733819954538481,432.42633765632064,4.577879223876556e-05,0.09803852383362231,0.040564718995779826,0.10725187246060565,0.2670687497530831,0.007685516859408409,0.0029323677265972493,0.044443870177270535,0.017277905076678382,0.05214799791015834,1;1;2;2;4;5;5;9;13;16
Maranhão,0.3710107677314307,0.4334968518910753,0.08354884412144131,0.1894126407038653,380.2633289845777,1.4592751930151565e-05,0.07772244084403848,0.053315109438489244,0.01802924115404342,0.2909419890193054,0.04730785864606682,0.013036809917804267,0.0477239486429897,0.009155673949929685,0.029344927648849568,1;2;2;8;8;8;10;14
Mato Grosso,0.3994348006493468,0.4411630493221737,0.37255385733623425,0.3987291374591966,234.29270118076423,3.661072284888399e-05,0.09874679937709922,0.010948765486335402,0.0003164734530155802,0.296998242968828,0.15677230211473053,0.02745388645500982,0.037467541641456076,0.0015731858899337616,0.009223197075102491,1;2;2;6;7;9;11;11
