date,state,novosCasos,totalcasos,casos_preditos
2020-02-25,Brasil,1.0,1.0,1.0
2020-02-26,Brasil,0.0,1.0,1.114223443575126
2020-02-27,Brasil,0.0,1.0,1.2473824440534798
2020-02-28,Brasil,0.0,1.0,1.4164486326614543
2020-02-29,Brasil,1.0,2.0,1.6419248374990947
2020-03-01,Brasil,0.0,2.0,1.9505728414024934
2020-03-02,Brasil,0.0,2.0,2.3792707821452943
2020-03-03,Brasil,0.0,2.0,2.9806587629142363
2020-03-04,Brasil,1.0,3.0,3.83159661863118
2020-03-05,Brasil,5.0,8.0,5.046026064294124
2020-03-06,Brasil,5.0,13.0,6.794710536519331
2020-03-07,Brasil,6.0,19.0,9.335674040525632
2020-03-08,Brasil,6.0,25.0,13.06116823972015
2020-03-09,Brasil,5.0,30.0,18.569837977606248
2020-03-10,Brasil,5.0,35.0,26.776384064576973
2020-03-11,Brasil,34.0,69.0,39.07460856784873
2020-03-12,Brasil,40.0,109.0,57.570305008391855
2020-03-13,Brasil,11.0,120.0,85.39017101441198
2020-03-14,Brasil,27.0,147.0,127.03491785289361
2020-03-15,Brasil,84.0,231.0,188.6519490910386
2020-03-16,Brasil,70.0,301.0,277.9368063715044
2020-03-17,Brasil,62.0,363.0,403.1955180945841
2020-03-18,Brasil,172.0,535.0,571.174572191101
2020-03-19,Brasil,160.0,695.0,783.9869769023729
2020-03-20,Brasil,318.0,1013.0,1036.7003724995006
2020-03-21,Brasil,193.0,1206.0,1317.5652278664809
2020-03-22,Brasil,415.0,1621.0,1611.2285915381833
2020-03-23,Brasil,339.0,1960.0,1902.9742034929288
2020-03-24,Brasil,307.0,2267.0,2181.6433921933035
2020-03-25,Brasil,297.0,2564.0,2440.4379980640097
2020-03-26,Brasil,424.0,2988.0,2676.251922521978
2020-03-27,Brasil,480.0,3468.0,2888.5021044189657
2020-03-28,Brasil,,,3078.0712194193134
2020-03-29,Brasil,,,3246.5654576722577
2020-03-30,Brasil,,,3395.86665694557
2020-03-31,Brasil,,,3527.8902996763927
2020-04-01,Brasil,,,3644.4671673328844
2020-04-02,Brasil,,,3747.2924041282376
2020-04-03,Brasil,,,3837.9089124108104
2020-04-04,Brasil,,,3917.7073265518593
2020-04-05,Brasil,,,3987.9335575781843
