date,state,totalcasos,casos_preditos
2020-02-25,São Paulo,1.0,1.0
2020-02-26,São Paulo,1.0,0.9969395729436831
2020-02-27,São Paulo,1.0,0.9759029220773233
2020-02-28,São Paulo,1.0,0.9757956089019592
2020-02-29,São Paulo,2.0,1.0211179021762755
2020-03-01,São Paulo,2.0,1.1301797188245586
2020-03-02,São Paulo,2.0,1.321130438958588
2020-03-03,São Paulo,2.0,1.6167926553769532
2020-03-04,São Paulo,3.0,2.049223073833606
2020-03-05,São Paulo,6.0,2.6648834392924137
2020-03-06,São Paulo,10.0,3.531347078209115
2020-03-07,São Paulo,13.0,4.746630461677917
2020-03-08,São Paulo,16.0,6.45254922771769
2020-03-09,São Paulo,16.0,8.853977166685642
2020-03-10,São Paulo,19.0,12.246540414585356
2020-03-11,São Paulo,45.0,17.0560592632426
2020-03-12,São Paulo,64.0,23.893764644475237
2020-03-13,São Paulo,64.0,33.63143410544984
2020-03-14,São Paulo,65.0,47.49887103031497
2020-03-15,São Paulo,136.0,67.20002160611425
2020-03-16,São Paulo,152.0,95.02876933399116
2020-03-17,São Paulo,164.0,133.93406351611958
2020-03-18,São Paulo,244.0,187.43022192887662
2020-03-19,São Paulo,287.0,259.17867624372013
2020-03-20,São Paulo,396.0,352.0298551201532
2020-03-21,São Paulo,459.0,466.4295316426147
2020-03-22,São Paulo,631.0,598.5192077760483
2020-03-23,São Paulo,745.0,738.9507308000763
2020-03-24,São Paulo,810.0,873.79866172876
2020-03-25,São Paulo,862.0,988.0919841105325
2020-03-26,São Paulo,1052.0,1070.5209907143123
2020-03-27,São Paulo,1223.0,1116.6556392853754
2020-03-28,São Paulo,,1129.058996258251
2020-03-29,São Paulo,,1114.9148943732955
2020-03-30,São Paulo,,1082.994555574389
2020-03-31,São Paulo,,1041.3781795181862
2020-04-01,São Paulo,,996.3431326001539
2020-04-02,São Paulo,,952.1617360259277
2020-04-03,São Paulo,,911.3830136243628
2020-04-04,São Paulo,,875.271965032498
2020-04-05,São Paulo,,844.2299448556898
2020-03-05,Rio de Janeiro,1.0,1.0
2020-03-06,Rio de Janeiro,1.0,0.9085326512659898
2020-03-07,Rio de Janeiro,2.0,0.9019214269499751
2020-03-08,Rio de Janeiro,3.0,0.983448853331724
2020-03-09,Rio de Janeiro,8.0,1.1685856600373243
2020-03-10,Rio de Janeiro,8.0,1.4893445398836616
2020-03-11,Rio de Janeiro,14.0,2.001867732076235
2020-03-12,Rio de Janeiro,16.0,2.799302395823771
2020-03-13,Rio de Janeiro,19.0,4.033185914060996
2020-03-14,Rio de Janeiro,24.0,5.9483855241258885
2020-03-15,Rio de Janeiro,24.0,8.939097838497737
2020-03-16,Rio de Janeiro,31.0,13.635819861131072
2020-03-17,Rio de Janeiro,39.0,21.03269523982296
2020-03-18,Rio de Janeiro,63.0,32.65280049469955
2020-03-19,Rio de Janeiro,66.0,50.706284367295666
2020-03-20,Rio de Janeiro,109.0,78.09170496622596
2020-03-21,Rio de Janeiro,119.0,117.9183349357471
2020-03-22,Rio de Janeiro,186.0,172.14007856968647
2020-03-23,Rio de Janeiro,231.0,239.35134173676394
2020-03-24,Rio de Janeiro,303.0,313.10197790219144
2020-03-25,Rio de Janeiro,370.0,382.94883066420414
2020-03-26,Rio de Janeiro,421.0,438.5753790059482
2020-03-27,Rio de Janeiro,493.0,474.02921102194443
2020-03-28,Rio de Janeiro,,489.03931779193
2020-03-29,Rio de Janeiro,,487.431215153281
2020-03-30,Rio de Janeiro,,474.62156009393067
2020-03-31,Rio de Janeiro,,455.7295327564952
2020-04-01,Rio de Janeiro,,434.68767703987237
2020-04-02,Rio de Janeiro,,414.08851074071924
2020-04-03,Rio de Janeiro,,395.3957621452825
2020-04-04,Rio de Janeiro,,379.2612801167819
2020-04-05,Rio de Janeiro,,365.81797451738464
2020-03-05,Espírito Santo,1.0,1.0
2020-03-06,Espírito Santo,1.0,1.2424117987384964
2020-03-07,Espírito Santo,1.0,1.5204416336593278
2020-03-08,Espírito Santo,1.0,1.8461997609527052
2020-03-09,Espírito Santo,1.0,2.233082526518937
2020-03-10,Espírito Santo,1.0,2.6962602299492744
2020-03-11,Espírito Santo,1.0,3.253187901443793
2020-03-12,Espírito Santo,2.0,3.924150351309783
2020-03-13,Espírito Santo,2.0,4.732850164854057
2020-03-14,Espírito Santo,4.0,5.707043058564069
2020-03-15,Espírito Santo,4.0,6.87921985366658
2020-03-16,Espírito Santo,8.0,8.287326762103842
2020-03-17,Espírito Santo,8.0,9.97550541855588
2020-03-18,Espírito Santo,11.0,11.994820187056153
2020-03-19,Espírito Santo,13.0,14.403920828395595
2020-03-20,Espírito Santo,16.0,17.269565113966202
2020-03-21,Espírito Santo,26.0,20.66689440383391
2020-03-22,Espírito Santo,26.0,24.679320845180662
2020-03-23,Espírito Santo,33.0,29.39784509628871
2020-03-24,Espírito Santo,40.0,34.91958689535053
2020-03-25,Espírito Santo,40.0,41.34528547526633
2020-03-26,Espírito Santo,48.0,48.77552137379808
2020-03-27,Espírito Santo,54.0,57.30545268334473
2020-03-28,Espírito Santo,,67.01795770648214
2020-03-29,Espírito Santo,,77.97525223117586
2020-03-30,Espírito Santo,,90.20932151768905
2020-03-31,Espírito Santo,,103.71184404213679
2020-04-01,Espírito Santo,,118.42465457301172
2020-04-02,Espírito Santo,,134.2321085260017
2020-04-03,Espírito Santo,,150.95685885996798
2020-04-04,Espírito Santo,,168.36043149384292
2020-04-05,Espírito Santo,,186.14952352427818
2020-03-06,Bahia,1.0,1.0
2020-03-07,Bahia,2.0,1.3083572689450105
2020-03-08,Bahia,2.0,1.6130414255744363
2020-03-09,Bahia,2.0,1.9553926259406127
2020-03-10,Bahia,2.0,2.370066288887536
2020-03-11,Bahia,3.0,2.891588316101999
2020-03-12,Bahia,3.0,3.559272325758463
2020-03-13,Bahia,7.0,4.421599130743611
2020-03-14,Bahia,7.0,5.5408092991923255
2020-03-15,Bahia,9.0,6.9982846928865134
2020-03-16,Bahia,10.0,8.901214817215855
2020-03-17,Bahia,16.0,11.391000152931065
2020-03-18,Bahia,27.0,14.65377450146716
2020-03-19,Bahia,31.0,18.933249547106993
2020-03-20,Bahia,34.0,24.54566515956082
2020-03-21,Bahia,41.0,31.895772585881225
2020-03-22,Bahia,55.0,41.49120410267243
2020-03-23,Bahia,63.0,53.94999677866116
2020-03-24,Bahia,79.0,69.9923103060625
2020-03-25,Bahia,91.0,90.40301749208712
2020-03-26,Bahia,108.0,115.94885860178056
2020-03-27,Bahia,123.0,147.23644040583133
2020-03-28,Bahia,,184.51175707686713
2020-03-29,Bahia,,227.43219764794253
2020-03-30,Bahia,,274.8819681296268
2020-03-31,Bahia,,324.9277604553348
2020-04-01,Bahia,,374.99023447566753
2020-04-02,Bahia,,422.22641964617657
2020-04-03,Bahia,,464.01575539994406
2020-04-04,Bahia,,498.38731923484113
2020-04-05,Bahia,,524.2579478728468
2020-03-07,Distrito Federal,1.0,1.0
2020-03-08,Distrito Federal,1.0,0.6042594912751039
2020-03-09,Distrito Federal,1.0,0.4128933805647035
2020-03-10,Distrito Federal,2.0,0.34579727362242413
2020-03-11,Distrito Federal,2.0,0.37120737848034957
2020-03-12,Distrito Federal,3.0,0.49251487086217394
2020-03-13,Distrito Federal,3.0,0.7505401313328852
2020-03-14,Distrito Federal,8.0,1.2439403870484145
2020-03-15,Distrito Federal,14.0,2.180111899516211
2020-03-16,Distrito Federal,19.0,3.985319610394055
2020-03-17,Distrito Federal,26.0,7.528354011939996
2020-03-18,Distrito Federal,36.0,14.52628655556419
2020-03-19,Distrito Federal,84.0,28.071026616070977
2020-03-20,Distrito Federal,108.0,52.52749521290994
2020-03-21,Distrito Federal,112.0,90.7058148810501
2020-03-22,Distrito Federal,134.0,137.83752392828004
2020-03-23,Distrito Federal,146.0,180.53606744381293
2020-03-24,Distrito Federal,177.0,206.8585319252384
2020-03-25,Distrito Federal,195.0,214.58226229903417
2020-03-26,Distrito Federal,203.0,208.77249001384476
2020-03-27,Distrito Federal,242.0,195.95561172438812
2020-03-28,Distrito Federal,,181.0133990634707
2020-03-29,Distrito Federal,,166.71893830751839
2020-03-30,Distrito Federal,,154.2965907413723
2020-03-31,Distrito Federal,,144.0709513012799
2020-04-01,Distrito Federal,,135.92588851527879
2020-04-02,Distrito Federal,,129.57113373416385
2020-04-03,Distrito Federal,,124.67858396457882
2020-04-04,Distrito Federal,,120.9436353849828
2020-04-05,Distrito Federal,,118.10739447961274
2020-03-08,Alagoas,1.0,1.0
2020-03-09,Alagoas,1.0,1.1802838783695029
2020-03-10,Alagoas,1.0,1.314698509567695
2020-03-11,Alagoas,1.0,1.4390215481410695
2020-03-12,Alagoas,1.0,1.5748270232797756
2020-03-13,Alagoas,1.0,1.736300983091482
2020-03-14,Alagoas,1.0,1.9340189422127956
2020-03-15,Alagoas,1.0,2.1770776034635975
2020-03-16,Alagoas,1.0,2.474338152374832
2020-03-17,Alagoas,1.0,2.835193054676437
2020-03-18,Alagoas,1.0,3.2700803271728667
2020-03-19,Alagoas,4.0,3.7908662606248993
2020-03-20,Alagoas,6.0,4.411160543928896
2020-03-21,Alagoas,7.0,5.146595367337019
2020-03-22,Alagoas,7.0,6.015080405642584
2020-03-23,Alagoas,8.0,7.037032436644501
2020-03-24,Alagoas,10.0,8.235567999460804
2020-03-25,Alagoas,11.0,9.636637446520108
2020-03-26,Alagoas,11.0,11.269069196313174
2020-03-27,Alagoas,11.0,13.164481843042376
2020-03-28,Alagoas,,15.357011144326451
2020-03-29,Alagoas,,17.882786897861703
2020-03-30,Alagoas,,20.779089489307555
2020-03-31,Alagoas,,24.083109603573867
2020-04-01,Alagoas,,27.830241727725674
2020-04-02,Alagoas,,32.051868018711396
2020-04-03,Alagoas,,36.772623878840285
2020-04-04,Alagoas,,42.007206296324654
2020-04-05,Alagoas,,47.75687726862855
2020-03-08,Minas Gerais,1.0,1.0
2020-03-09,Minas Gerais,1.0,0.6373639899166116
2020-03-10,Minas Gerais,1.0,0.4842161930908884
2020-03-11,Minas Gerais,1.0,0.4642259829018448
2020-03-12,Minas Gerais,2.0,0.553176212708002
2020-03-13,Minas Gerais,2.0,0.7642213977994005
2020-03-14,Minas Gerais,4.0,1.1486147078461402
2020-03-15,Minas Gerais,4.0,1.8106482520630858
2020-03-16,Minas Gerais,7.0,2.9408388055684536
2020-03-17,Minas Gerais,14.0,4.876497983026454
2020-03-18,Minas Gerais,20.0,8.202414860556775
2020-03-19,Minas Gerais,29.0,13.897832781341748
2020-03-20,Minas Gerais,38.0,23.491794234333405
2020-03-21,Minas Gerais,55.0,39.051055867360624
2020-03-22,Minas Gerais,83.0,62.57344183185818
2020-03-23,Minas Gerais,128.0,94.32558389575256
2020-03-24,Minas Gerais,130.0,130.76297672806777
2020-03-25,Minas Gerais,133.0,164.61370460688767
