state,a,b,casos,y
Brasil,7.3686611323086275,0.1942665997560696,"[   1    1    1    1    2    2    2    2    3    8   13   19   25   30
   35   69  109  120  147  231  301  363  535  695 1013 1206 1621 1960
 2267 2564 2988 3468]",1;1;1;1;2;2;2;2;3;8;13;19;25;30;35;69;109;120;147;231;301;363;535;695;1013;1206;1621;1960;2267;2564;2988;3468
São Paulo,1.7928802520605538,0.2070414848547389,"[   1    1    1    1    2    2    2    2    3    6   10   13   16   16
   19   45   64   64   65  136  152  164  244  287  396  459  631  745
  810  862 1052 1223]",1;1;1;1;2;2;2;2;3;6;10;13;16;16;19;45;64;64;65;136;152;164;244;287;396;459;631;745;810;862;1052;1223
Rio de Janeiro,3.218690423343952,0.22150759987097635,"[  1   1   2   3   8   8  14  16  19  24  24  31  39  63  66 109 119 186
 231 303 370 421 493]",1;1;2;3;8;8;14;16;19;24;24;31;39;63;66;109;119;186;231;303;370;421;493
Espírito Santo,1.0446295480489094,0.17468877756744913,[ 1  1  1  1  1  1  1  2  2  4  4  8  8 11 13 16 26 26 33 40 40 48 54],1;1;1;1;1;1;1;2;2;4;4;8;8;11;13;16;26;26;33;40;40;48;54
Bahia,1.9836914713268718,0.18998452263503363,"[  1   2   2   2   2   3   3   7   7   9  10  16  27  31  34  41  55  63
  79  91 108 123]",1;2;2;2;2;3;3;7;7;9;10;16;27;31;34;41;55;63;79;91;108;123
Distrito Federal,6.982997787741903,0.17266879767762713,"[  1   1   1   2   2   3   3   8  14  19  26  36  84 108 112 134 146 177
 195 203 242]",1;1;1;2;2;3;3;8;14;19;26;36;84;108;112;134;146;177;195;203;242
Alagoas,0.6128147477703481,0.15353560211434686,[ 1  1  1  1  1  1  1  1  1  1  1  4  6  7  7  8 10 11 11 11],1;1;1;1;1;1;1;1;1;1;1;4;6;7;7;8;10;11;11;11
Minas Gerais,3.002805656542828,0.21055881856752842,"[  1   1   1   1   2   2   4   4   7  14  20  29  38  55  83 128 130 133
 153 189]",1;1;1;1;2;2;4;4;7;14;20;29;38;55;83;128;130;133;153;189
Rio Grande do Sul,1.7943579928856637,0.2711173200075591,[  1   2   4   6   7   7  11  19  28  37  60  72  85  96 113 162 190 197],1;2;4;6;7;7;11;19;28;37;60;72;85;96;113;162;190;197
Pernambuco,8.779338671063986,0.11970400396214767,[ 2  2  7  8 18 19 22 28 31 33 37 42 42 46 48 57],2;2;7;8;18;19;22;28;31;33;37;42;42;46;48;57
Paraná,5.069026012928085,0.2033120185785687,[  6   6   6   6   8  12  14  23  36  43  54  60  69  97 106 125],6;6;6;6;8;12;14;23;36;43;54;60;69;97;106;125
Santa Catarina,5.953659551982203,0.2127706081996195,[  2   3   5   6   7   7  15  22  41  58  69  87 110 122 149 163],2;3;5;6;7;7;15;22;41;58;69;87;110;122;149;163
Goiás,3.5798631643019814,0.1621171763423653,[ 3  3  4  4  9 10 12 15 18 20 21 23 29 35 39 49],3;3;4;4;9;10;12;15;18;20;21;23;29;35;39;49
Rio Grande do Norte,0.6926773975862532,0.22803058610469396,[ 1  1  1  1  1  1  1  1  6  9 13 13 14 14 19 28],1;1;1;1;1;1;1;1;6;9;13;13;14;14;19;28
Amazonas,1.374478035232919,0.2763775599110497,[ 1  1  1  1  2  2  3  7 11 26 32 47 54 67 81],1;1;1;1;2;2;3;7;11;26;32;47;54;67;81
Mato Grosso do Sul,4.404353734417365,0.13995665655629413,[ 2  2  4  6  7  9 12 16 21 21 24 24 25 28],2;2;4;6;7;9;12;16;21;21;24;24;25;28
Sergipe,2.9077153873943486,0.132022201419776,[ 1  1  5  5  6  6  7 10 10 10 15 16 16 16],1;1;5;5;6;6;7;10;10;10;15;16;16;16
Ceará,10.053139743212181,0.2669371101758447,[  3   9  11  20  25  68  84 125 164 185 211 238 282],3;9;11;20;25;68;84;125;164;185;211;238;282
Acre,4.11827191174873,0.17652838947955288,[ 3  3  4  7 11 11 17 21 23 24 25],3;3;4;7;11;11;17;21;23;24;25
Pará,0.6942125818369212,0.31673159595067335,[ 1  1  2  2  4  5  5  9 13 16],1;1;2;2;4;5;5;9;13;16
Maranhão,1.7855034390765692,0.2573440249538751,[ 1  2  2  8  8  8 10 14],1;2;2;8;8;8;10;14
Mato Grosso,1.81302134033422,0.24213222060072173,[ 1  2  2  6  7  9 11 11],1;2;2;6;7;9;11;11
