date,state,novosCasos,totalcasos,casos_preditos
2020-02-25,Brasil,1.0,1.0,8.948649480882432
2020-02-26,Brasil,0.0,1.0,10.867418937286454
2020-02-27,Brasil,0.0,1.0,13.197610947975834
2020-02-28,Brasil,0.0,1.0,16.02744273863641
2020-02-29,Brasil,1.0,2.0,19.464047072827785
2020-03-01,Brasil,0.0,2.0,23.6375281216876
2020-03-02,Brasil,0.0,2.0,28.705886993233527
2020-03-03,Brasil,0.0,2.0,34.86100339367728
2020-03-04,Brasil,1.0,3.0,42.33589987658084
2020-03-05,Brasil,5.0,8.0,51.413563692344894
2020-03-06,Brasil,5.0,13.0,62.43766021869874
2020-03-07,Brasil,6.0,19.0,75.82554356499756
2020-03-08,Brasil,6.0,25.0,92.08405691034346
2020-03-09,Brasil,5.0,30.0,111.82872075026782
2020-03-10,Brasil,5.0,35.0,135.80703548734132
2020-03-11,Brasil,34.0,69.0,164.9267805633538
2020-03-12,Brasil,40.0,109.0,200.29038149152484
2020-03-13,Brasil,11.0,120.0,243.23664586789528
2020-03-14,Brasil,27.0,147.0,295.3914484184425
2020-03-15,Brasil,84.0,231.0,358.72928393419454
2020-03-16,Brasil,70.0,301.0,435.6480183869315
2020-03-17,Brasil,62.0,363.0,529.0596681794041
2020-03-18,Brasil,172.0,535.0,642.5006442827371
2020-03-19,Brasil,160.0,695.0,780.2656349222019
2020-03-20,Brasil,318.0,1013.0,947.5701953889928
2020-03-21,Brasil,193.0,1206.0,1150.7482003600735
2020-03-22,Brasil,415.0,1621.0,1397.491633945214
2020-03-23,Brasil,339.0,1960.0,1697.1417955168354
2020-03-24,Brasil,307.0,2267.0,2061.0429458950334
2020-03-25,Brasil,297.0,2564.0,2502.971782348954
2020-03-26,Brasil,424.0,2988.0,3039.6590016296354
2020-03-27,Brasil,480.0,3468.0,3691.422696550374
2020-03-28,Brasil,,,4482.937565464311
2020-03-29,Brasil,,,5444.169055641184
2020-03-30,Brasil,,,6611.50780567055
2020-03-31,Brasil,,,8029.1473350095
2020-04-01,Brasil,,,9750.757137728555
2020-04-02,Brasil,,,11841.514521025032
2020-04-03,Brasil,,,14380.572110558307
2020-04-04,Brasil,,,17464.054438288706
2020-04-05,Brasil,,,21208.697058692367
