date,state,totalcasos,casos_preditos
2020-02-25,São Paulo,1.0,2.2053029480991917
2020-02-26,São Paulo,1.0,2.7125967210055077
2020-02-27,São Paulo,1.0,3.3365851059837572
2020-02-28,São Paulo,1.0,4.104111784572947
2020-02-29,São Paulo,2.0,5.048195386973155
2020-03-01,São Paulo,2.0,6.209449937706511
2020-03-02,São Paulo,2.0,7.637832051505028
2020-03-03,São Paulo,2.0,9.394790042955778
2020-03-04,São Paulo,3.0,11.555907403571288
2020-03-05,São Paulo,6.0,14.214154367402958
2020-03-06,São Paulo,10.0,17.483887445993258
2020-03-07,São Paulo,13.0,21.505768990745256
2020-03-08,São Paulo,16.0,26.452818419926952
2020-03-09,São Paulo,16.0,32.53785543119877
2020-03-10,São Paulo,19.0,40.02265540310297
2020-03-11,São Paulo,45.0,49.22921084650333
2020-03-12,São Paulo,64.0,60.5535833682236
2020-03-13,São Paulo,64.0,74.48294205172799
2020-03-14,São Paulo,65.0,91.61652123782179
2020-03-15,São Paulo,136.0,112.69139929906301
2020-03-16,São Paulo,152.0,138.61420739841648
2020-03-17,São Paulo,164.0,170.50013232776476
2020-03-18,São Paulo,244.0,209.72089130971284
2020-03-19,São Paulo,287.0,257.963742615689
2020-03-20,São Paulo,396.0,317.3040706088753
2020-03-21,São Paulo,459.0,390.2946677857618
2020-03-22,São Paulo,631.0,480.0755546869979
2020-03-23,São Paulo,745.0,590.5090620775234
2020-03-24,São Paulo,810.0,726.3459865666857
2020-03-25,São Paulo,862.0,893.4299676035627
2020-03-26,São Paulo,1052.0,1098.9488780479671
2020-03-27,São Paulo,1223.0,1351.7440430191252
2020-03-28,São Paulo,,1662.6905894688357
2020-03-29,São Paulo,,2045.1652889356294
2020-03-30,São Paulo,,2515.6220198511887
2020-03-31,São Paulo,,3094.2996055119124
2020-04-01,São Paulo,,3806.0924785662223
2020-04-02,São Paulo,,4681.621627586961
2020-04-03,São Paulo,,5758.551897337629
2020-04-04,São Paulo,,7083.212312359132
2020-04-05,São Paulo,,8712.589129421967
2020-03-05,Rio de Janeiro,1.0,4.016786383628868
2020-03-06,Rio de Janeiro,1.0,5.012775610443392
2020-03-07,Rio de Janeiro,2.0,6.255727071538945
2020-03-08,Rio de Janeiro,3.0,7.8068767155774825
2020-03-09,Rio de Janeiro,8.0,9.742644356962407
2020-03-10,Rio de Janeiro,8.0,12.158398617574449
2020-03-11,Rio de Janeiro,14.0,15.173155411158431
2020-03-12,Rio de Janeiro,16.0,18.935441448546225
2020-03-13,Rio de Janeiro,19.0,23.630611638475795
2020-03-14,Rio de Janeiro,24.0,29.489980887207643
2020-03-15,Rio de Janeiro,24.0,36.802220189336005
2020-03-16,Rio de Janeiro,31.0,45.92757845604072
2020-03-17,Rio de Janeiro,39.0,57.31563074140265
