date,state,novosCasos,totalcasos,casos_preditos
2020-02-25,Brasil,1.0,1.0,1.0
2020-02-26,Brasil,0.0,1.0,1.3824442170472786
2020-02-27,Brasil,0.0,1.0,1.9107276924735368
2020-02-28,Brasil,0.0,1.0,2.6400707895763587
2020-02-29,Brasil,1.0,2.0,3.6462918291381006
2020-03-01,Brasil,0.0,2.0,5.033093322801477
2020-03-02,Brasil,0.0,2.0,6.941817239514623
2020-03-03,Brasil,0.0,2.0,9.563909681139448
2020-03-04,Brasil,1.0,3.0,13.156621534794251
2020-03-05,Brasil,5.0,8.0,18.061694693533628
2020-03-06,Brasil,5.0,13.0,24.725935790649437
2020-03-07,Brasil,6.0,19.0,33.72031241321168
2020-03-08,Brasil,6.0,25.0,45.75098942764398
2020-03-09,Brasil,5.0,30.0,61.64995050629236
2020-03-10,Brasil,5.0,35.0,82.32694713337693
2020-03-11,Brasil,34.0,69.0,108.65896182524108
2020-03-12,Brasil,40.0,109.0,141.2974589376992
2020-03-13,Brasil,11.0,120.0,180.39588391308925
2020-03-14,Brasil,27.0,147.0,225.3090632385417
2020-03-15,Brasil,84.0,231.0,274.3793623047631
2020-03-16,Brasil,70.0,301.0,324.95910655204136
2020-03-17,Brasil,62.0,363.0,373.76210506065735
2020-03-18,Brasil,172.0,535.0,417.48123395341895
2020-03-19,Brasil,160.0,695.0,453.44745191393764
2020-03-20,Brasil,318.0,1013.0,480.07177825422485
2020-03-21,Brasil,193.0,1206.0,496.9395003099511
2020-03-22,Brasil,415.0,1621.0,504.6067807226068
2020-03-23,Brasil,339.0,1960.0,504.2536470184811
2020-03-24,Brasil,307.0,2267.0,497.34071822677123
2020-03-25,Brasil,297.0,2564.0,485.35132116747064
2020-03-26,Brasil,424.0,2988.0,469.636503017338
2020-03-27,Brasil,480.0,3468.0,451.344410262589
2020-03-28,Brasil,,,431.4052981815118
2020-03-29,Brasil,,,410.54703056608105
2020-03-30,Brasil,,,389.3236859113345
2020-03-31,Brasil,,,368.14721682790747
2020-04-01,Brasil,,,347.3168718751165
2020-04-02,Brasil,,,327.0444354494048
2020-04-03,Brasil,,,307.47482741465143
2020-04-04,Brasil,,,288.70244096497737
2020-04-05,Brasil,,,270.7838400752471
