date,state,totalcasos,casos_preditos
2020-02-25,São Paulo,1.0,1.0
2020-02-26,São Paulo,1.0,1.3427131116928785
2020-02-27,São Paulo,1.0,1.8025421584219707
2020-02-28,São Paulo,1.0,2.4192221113712535
2020-02-29,São Paulo,2.0,3.24580363800937
2020-03-01,São Paulo,2.0,4.352851387973014
2020-03-02,São Paulo,2.0,5.833958610197241
2020-03-03,São Paulo,2.0,7.812768438846408
2020-03-04,São Paulo,3.0,10.4515474386567
2020-03-05,São Paulo,6.0,13.9615994849968
2020-03-06,São Paulo,10.0,18.61503756726226
2020-03-07,São Paulo,13.0,24.757049197477812
2020-03-08,São Paulo,16.0,32.81641436046643
2020-03-09,São Paulo,16.0,43.31041955014018
2020-03-10,São Paulo,19.0,56.83734386582277
2020-03-11,São Paulo,45.0,74.04719397804809
2020-03-12,São Paulo,64.0,95.57845153267426
2020-03-13,São Paulo,64.0,121.95043211853385
2020-03-14,São Paulo,65.0,153.4090593808454
2020-03-15,São Paulo,136.0,189.7441147256438
2020-03-16,São Paulo,152.0,230.12489869552434
2020-03-17,São Paulo,164.0,273.02735853434643
2020-03-18,São Paulo,244.0,316.32372390357153
2020-03-19,São Paulo,287.0,357.5575188098554
2020-03-20,São Paulo,396.0,394.34381374752314
2020-03-21,São Paulo,459.0,424.76689512176483
2020-03-22,São Paulo,631.0,447.64455231000954
2020-03-23,São Paulo,745.0,462.5945592212297
2020-03-24,São Paulo,810.0,469.92622029868704
2020-03-25,São Paulo,862.0,470.4341730065251
2020-03-26,São Paulo,1052.0,465.1760022196896
2020-03-27,São Paulo,1223.0,455.2876255835123
2020-03-28,São Paulo,,441.8568260561605
2020-03-29,São Paulo,,425.8520015561512
2020-03-30,São Paulo,,408.0927159575783
2020-03-31,São Paulo,,389.24718865845927
2020-04-01,São Paulo,,369.8445758890383
2020-04-02,São Paulo,,350.29376683123303
2020-04-03,São Paulo,,330.9036617952065
2020-04-04,São Paulo,,311.9022215568607
2020-04-05,São Paulo,,293.45315182739
2020-03-05,Rio de Janeiro,1.0,1.0
2020-03-06,Rio de Janeiro,1.0,1.3988340205123013
2020-03-07,Rio de Janeiro,2.0,1.956248545001022
2020-03-08,Rio de Janeiro,3.0,2.7348283353976446
2020-03-09,Rio de Janeiro,8.0,3.82144986517522
2020-03-10,Rio de Janeiro,8.0,5.336210824453949
2020-03-11,Rio de Janeiro,14.0,7.444446262710636
2020-03-12,Rio de Janeiro,16.0,10.372092330129767
2020-03-13,Rio de Janeiro,19.0,14.4250012241156
2020-03-14,Rio de Janeiro,24.0,20.011520210885113
2020-03-15,Rio de Janeiro,24.0,27.66627174274262
2020-03-16,Rio de Janeiro,31.0,38.06953551407743
2020-03-17,Rio de Janeiro,39.0,52.05142685534902
2020-03-18,Rio de Janeiro,63.0,70.56210048155768
2020-03-19,Rio de Janeiro,66.0,94.58130113019587
2020-03-20,Rio de Janeiro,109.0,124.93826950959128
2020-03-21,Rio de Janeiro,119.0,162.02922463175503
2020-03-22,Rio de Janeiro,186.0,205.46820802346681
2020-03-23,Rio de Janeiro,231.0,253.78558740319517
2020-03-24,Rio de Janeiro,303.0,304.35483948014996
2020-03-25,Rio de Janeiro,370.0,353.6989992593522
2020-03-26,Rio de Janeiro,421.0,398.15826353781983
2020-03-27,Rio de Janeiro,493.0,434.67700112934125
2020-03-28,Rio de Janeiro,,461.37896982434154
2020-03-29,Rio de Janeiro,,477.73034839707725
2020-03-30,Rio de Janeiro,,484.32560618616975
2020-03-31,Rio de Janeiro,,482.48238392096675
2020-04-01,Rio de Janeiro,,473.83437688567295
2020-04-02,Rio de Janeiro,,460.02799937903336
2020-04-03,Rio de Janeiro,,442.54483416880714
2020-04-04,Rio de Janeiro,,422.62543673875246
2020-04-05,Rio de Janeiro,,401.25805085861276
2020-03-05,Espírito Santo,1.0,1.0
2020-03-06,Espírito Santo,1.0,1.2151917280422448
2020-03-07,Espírito Santo,1.0,1.4764081408936591
2020-03-08,Espírito Santo,1.0,1.7933585687917637
2020-03-09,Espírito Santo,1.0,2.1777286264879074
2020-03-10,Espírito Santo,1.0,2.643588975405474
2020-03-11,Espírito Santo,1.0,3.2077823341435643
2020-03-12,Espírito Santo,2.0,3.8904394659129617
2020-03-13,Espírito Santo,2.0,4.7155055593470525
2020-03-14,Espírito Santo,4.0,5.711362974780531
2020-03-15,Espírito Santo,4.0,6.911411970087229
2020-03-16,Espírito Santo,8.0,8.354669979542466
2020-03-17,Espírito Santo,8.0,10.086305175100515
2020-03-18,Espírito Santo,11.0,12.157989024876498
2020-03-19,Espírito Santo,13.0,14.627954548845373
2020-03-20,Espírito Santo,16.0,17.56058378931404
2020-03-21,Espírito Santo,26.0,21.02527106967078
2020-03-22,Espírito Santo,26.0,25.094275425286796
2020-03-23,Espírito Santo,33.0,29.839278494462626
2020-03-24,Espírito Santo,40.0,35.3262500549906
2020-03-25,Espírito Santo,40.0,41.6084491404828
2020-03-26,Espírito Santo,48.0,48.71748349193609
2020-03-27,Espírito Santo,54.0,56.65274334620915
2020-03-28,Espírito Santo,,65.3700160442674
2020-03-29,Espírito Santo,,74.77080493805619
2020-03-30,Espírito Santo,,84.69434545065452
2020-03-31,Espírito Santo,,94.91484869297973
2020-04-01,Espírito Santo,,105.1462892395125
2020-04-02,Espírito Santo,,115.05606549546678
2020-04-03,Espírito Santo,,124.28744803656883
2020-04-04,Espírito Santo,,132.48849910175448
2020-04-05,Espírito Santo,,139.34336544752023
2020-03-06,Bahia,1.0,1.0
2020-03-07,Bahia,2.0,1.291791693816244
2020-03-08,Bahia,2.0,1.66828010309355
2020-03-09,Bahia,2.0,2.1537196841804733
2020-03-10,Bahia,2.0,2.7791722365416294
2020-03-11,Bahia,3.0,3.5841801421482864
2020-03-12,Bahia,3.0,4.61890956079554
2020-03-13,Bahia,7.0,5.946630972354869
2020-03-14,Bahia,7.0,7.646582079332995
2020-03-15,Bahia,9.0,9.816953413939908
2020-03-16,Bahia,10.0,12.577895077979322
2020-03-17,Bahia,16.0,16.07385303906269
2020-03-18,Bahia,27.0,20.47442922617623
2020-03-19,Bahia,31.0,25.97226828501753
2020-03-20,Bahia,34.0,32.77610722653633
2020-03-21,Bahia,41.0,41.09642724908919
2020-03-22,Bahia,55.0,51.120975994135264
2020-03-23,Bahia,63.0,62.97853937824127
2020-03-24,Bahia,79.0,76.69131810731446
2020-03-25,Bahia,91.0,92.12114954719698
2020-03-26,Bahia,108.0,108.92092400243885
2020-03-27,Bahia,123.0,126.50855461989755
2020-03-28,Bahia,,144.08218044407056
2020-03-29,Bahia,,160.6883015775279
2020-03-30,Bahia,,175.3383876784139
2020-03-31,Bahia,,187.14956800015983
2020-04-01,Bahia,,195.47241879560613
2020-04-02,Bahia,,199.9716855659213
2020-04-03,Bahia,,200.64271611895722
2020-04-04,Bahia,,197.76880542671395
2020-04-05,Bahia,,191.840786611052
2020-03-07,Distrito Federal,1.0,1.0
2020-03-08,Distrito Federal,1.0,1.4071808768751313
2020-03-09,Distrito Federal,1.0,1.9793255067154933
2020-03-10,Distrito Federal,2.0,2.782453789644303
2020-03-11,Distrito Federal,2.0,3.9082495872122673
2020-03-12,Distrito Federal,3.0,5.483194802266158
2020-03-13,Distrito Federal,3.0,7.680420847184742
2020-03-14,Distrito Federal,8.0,10.73390860238522
2020-03-15,Distrito Federal,14.0,14.954464158604283
2020-03-16,Distrito Federal,19.0,20.744501192865705
2020-03-17,Distrito Federal,26.0,28.60576081387695
2020-03-18,Distrito Federal,36.0,39.12852316716654
2020-03-19,Distrito Federal,84.0,52.944870283804086
2020-03-20,Distrito Federal,108.0,70.62299647526764
2020-03-21,Distrito Federal,112.0,92.48510318314383
2020-03-22,Distrito Federal,134.0,118.35713053974332
2020-03-23,Distrito Federal,146.0,147.31488925391292
2020-03-24,Distrito Federal,177.0,177.5578492579538
2020-03-25,Distrito Federal,195.0,206.55886192420746
2020-03-26,Distrito Federal,203.0,231.53923118436853
2020-03-27,Distrito Federal,242.0,250.12424450095594
2020-03-28,Distrito Federal,,260.8935537645175
2020-03-29,Distrito Federal,,263.593132711305
2020-03-30,Distrito Federal,,258.9797347928319
2020-03-31,Distrito Federal,,248.44860629007135
2020-04-01,Distrito Federal,,233.63526508503904
2020-04-02,Distrito Federal,,216.11385586960964
2020-04-03,Distrito Federal,,197.22572844515787
2020-04-04,Distrito Federal,,178.01627414109382
2020-04-05,Distrito Federal,,159.24076446438454
2020-03-08,Alagoas,1.0,1.0
2020-03-09,Alagoas,1.0,1.145608581681565
2020-03-10,Alagoas,1.0,1.3122329264191037
2020-03-11,Alagoas,1.0,1.502879845947064
2020-03-12,Alagoas,1.0,1.7209286429764208
2020-03-13,Alagoas,1.0,1.9702260847227715
2020-03-14,Alagoas,1.0,2.255138655895353
2020-03-15,Alagoas,1.0,2.5805966774746008
2020-03-16,Alagoas,1.0,2.952165035813351
2020-03-17,Alagoas,1.0,3.3761114945994404
2020-03-18,Alagoas,1.0,3.859472010880631
2020-03-19,Alagoas,4.0,4.410115487281126
2020-03-20,Alagoas,6.0,5.036833249782092
2020-03-21,Alagoas,7.0,5.749369388115347
2020-03-22,Alagoas,7.0,6.558486289034986
2020-03-23,Alagoas,8.0,7.475998066045228
2020-03-24,Alagoas,10.0,8.514778209920062
2020-03-25,Alagoas,11.0,9.688730636835608
2020-03-26,Alagoas,11.0,11.012725275267018
2020-03-27,Alagoas,11.0,12.502456529340174
2020-03-28,Alagoas,,14.174227051761505
2020-03-29,Alagoas,,16.044666862820897
2020-03-30,Alagoas,,18.1302575689061
2020-03-31,Alagoas,,20.446818903568897
2020-04-01,Alagoas,,23.0087757778257
2020-04-02,Alagoas,,25.828287479782738
2020-04-03,Alagoas,,28.91421177425693
2020-04-04,Alagoas,,32.270918585804466
2020-04-05,Alagoas,,35.89698377749531
2020-03-08,Minas Gerais,1.0,1.0
2020-03-09,Minas Gerais,1.0,1.3781137383517816
2020-03-10,Minas Gerais,1.0,1.898477197141253
2020-03-11,Minas Gerais,1.0,2.6139515689202484
2020-03-12,Minas Gerais,2.0,3.596504955339148
2020-03-13,Minas Gerais,2.0,4.943527141553496
2020-03-14,Minas Gerais,4.0,6.785926914664167
2020-03-15,Minas Gerais,4.0,9.297848369542885
2020-03-16,Minas Gerais,7.0,12.707657983705877
2020-03-17,Minas Gerais,14.0,17.308824404500502
2020-03-18,Minas Gerais,20.0,23.46763550617146
2020-03-19,Minas Gerais,29.0,31.62199820295443
2020-03-20,Minas Gerais,38.0,42.26194992930435
2020-03-21,Minas Gerais,55.0,55.87882637235284
2020-03-22,Minas Gerais,83.0,72.86891728061524
2020-03-23,Minas Gerais,128.0,93.3850293722174
2020-03-24,Minas Gerais,130.0,117.15126870784952
2020-03-25,Minas Gerais,133.0,143.2942962874374
2020-03-26,Minas Gerais,153.0,170.28181030552702
2020-03-27,Minas Gerais,189.0,196.05816117445775
2020-03-28,Minas Gerais,,218.39742495441556
2020-03-29,Minas Gerais,,235.37378414675598
2020-03-30,Minas Gerais,,245.7655943950964
2020-03-31,Minas Gerais,,249.2372308061214
2020-04-01,Minas Gerais,,246.26403145506856
2020-04-02,Minas Gerais,,237.88414905660974
2020-04-03,Minas Gerais,,225.40309321055776
2020-04-04,Minas Gerais,,210.14614265990699
2020-04-05,Minas Gerais,,193.2980138401802
2020-03-10,Rio Grande do Sul,1.0,1.0
2020-03-11,Rio Grande do Sul,2.0,1.4434314936889452
2020-03-12,Rio Grande do Sul,4.0,2.082502642417153
2020-03-13,Rio Grande do Sul,6.0,3.0024803585228694
2020-03-14,Rio Grande do Sul,7.0,4.324661675389344
2020-03-15,Rio Grande do Sul,7.0,6.2203367584521905
2020-03-16,Rio Grande do Sul,11.0,8.92903530976542
2020-03-17,Rio Grande do Sul,19.0,12.780532375214964
2020-03-18,Rio Grande do Sul,28.0,18.218871276241074
2020-03-19,Rio Grande do Sul,37.0,25.822130079488463
