state,populacao,beta,gamma,R0
Brasil,217026005,0.36688274801451776,0.11347382225633079,3.2331928256170914
SP,45919049,0.42237151267574524,0.19770907278152802,2.136328428096333
RJ,17264943,0.4229379917103644,0.1508978762395604,2.8028094380793154
ES,4018650,0.31257014853280085,0.13493606961171417,2.3164313991969556
BA,14873064,0.28292703640729316,0.06102590001293452,4.63617966055931
DF,3015268,0.4653410595761642,0.19763136959036753,2.354591078029167
AL,3337357,0.18759299668778173,0.058410411314129156,3.2116362899571644
MG,21168791,0.4127937786879853,0.14693207443945747,2.8094191160288466
RS,11377239,0.39809417255355345,0.10167265466012569,3.9154497724517396
PE,9557071,0.4157424161171555,0.1544602755791818,2.691581473348021
PR,11433957,0.500987177363196,0.19754767590046693,2.5360317456511865
SC,7164788,0.42142292702661455,0.0996593775251688,4.228632944453069
GO,7018354,0.41695338527167974,0.16925397574797385,2.4634776431635528
RN,3506853,0.3762161684790329,0.14047491092297162,2.6781733905873644
AM,4144597,0.3688662258995842,0.06487873741597996,5.685471706000409
MS,2778986,0.4387002293976113,0.19037963373427555,2.3043443292360353
SE,2298696,0.3139178837329109,0.10682728851778917,2.938555195853693
CE,9132078,0.5602402564048179,0.129298114154156,4.332934475261333
AC,881935,0.41531143765161826,0.11885809944849153,3.4941786851606023
TO,1572866,0.3220066682327489,0.09954647142115662,3.234737139706519
PA,8602865,0.34305731199432354,0.06525920751407946,5.25684152570057
PB,4018127,0.3225909439057219,0.08085183780520272,3.989902427239119
PI,3273227,0.43872898113909486,0.17705943450582215,2.477862771693583
RO,1777225,0.36117123154636716,0.15580954053147114,2.3180302715379364
MA,7075181,0.4202105234005503,0.06285986962746258,6.684877424832684
MT,3484466,0.4468862415719963,0.1353282913402918,3.302238114041296
