date,state,mortes,totalcasos,casos_preditos
2020-02-25,SP,0.0,1.0,0.9999999999999999
2020-02-26,SP,0.0,1.0,1.2589725783959629
2020-02-27,SP,0.0,1.0,1.5845039756975716
2020-02-28,SP,0.0,1.0,1.993841601537044
2020-02-29,SP,0.0,2.0,2.510319874064564
2020-03-01,SP,0.0,2.0,3.1791002046304633
2020-03-02,SP,0.0,2.0,4.013100372918798
2020-03-03,SP,0.0,2.0,5.056956834077121
2020-03-04,SP,0.0,3.0,6.395741466265024
2020-03-05,SP,0.0,6.0,8.042787479155407
2020-03-06,SP,0.0,10.0,10.16700194193283
2020-03-07,SP,0.0,13.0,12.82498710479404
2020-03-08,SP,0.0,16.0,16.150211476643754
2020-03-09,SP,0.0,16.0,20.423630315298162
2020-03-10,SP,0.0,19.0,25.683866825724923
2020-03-11,SP,0.0,45.0,32.46327636356207
2020-03-12,SP,0.0,64.0,40.958892111833066
2020-03-13,SP,0.0,64.0,51.52472320380467
2020-03-14,SP,0.0,65.0,64.98340211183283
2020-03-15,SP,0.0,136.0,81.80379302590937
2020-03-16,SP,0.0,152.0,103.23920052447143
2020-03-17,SP,1.0,164.0,129.85870611207187
2020-03-18,SP,4.0,244.0,163.44303100930418
2020-03-19,SP,4.0,287.0,205.91989920559377
2020-03-20,SP,9.0,396.0,259.08430791634623
2020-03-21,SP,15.0,459.0,325.9878770404057
2020-03-22,SP,22.0,631.0,409.4762660398183
2020-03-23,SP,30.0,745.0,516.302511354445
2020-03-24,SP,40.0,810.0,648.636134629386
2020-03-25,SP,48.0,862.0,815.2383231141733
2020-03-26,SP,58.0,1052.0,1024.9330045544436
2020-03-27,SP,68.0,1223.0,1288.6789190573577
2020-03-28,SP,84.0,1406.0,1620.0202834114546
2020-03-29,SP,,,2036.580861541129
2020-03-30,SP,,,2560.007637569908
2020-03-31,SP,,,3218.0951549762444
2020-04-01,SP,,,4045.2745918742066
2020-04-02,SP,,,5084.65046256652
2020-04-03,SP,,,6391.048331333334
2020-04-04,SP,,,8032.95691729027
2020-04-05,SP,,,10096.43107735365
2020-03-05,RJ,0.0,1.0,1.0
2020-03-06,RJ,0.0,1.0,1.3268360947653475
2020-03-07,RJ,0.0,2.0,1.759339517794634
2020-03-08,RJ,0.0,3.0,2.3319283653640768
2020-03-09,RJ,0.0,8.0,3.0928282354202676
2020-03-10,RJ,0.0,8.0,4.128476943257913
2020-03-11,RJ,0.0,14.0,5.4730280897794366
2020-03-12,RJ,0.0,16.0,7.294529024148206
2020-03-13,RJ,0.0,19.0,9.665614555958937
2020-03-14,RJ,0.0,24.0,12.87625744839235
2020-03-15,RJ,0.0,24.0,17.064436881401594
2020-03-16,RJ,0.0,31.0,22.669006656027488
2020-03-17,RJ,0.0,39.0,30.04164263528514
2020-03-18,RJ,0.0,63.0,39.928805312199586
2020-03-19,RJ,2.0,66.0,52.89750614675227
2020-03-20,RJ,2.0,109.0,70.10406536499877
2020-03-21,RJ,3.0,119.0,92.90253017820355
2020-03-22,RJ,3.0,186.0,123.08020199827195
2020-03-23,RJ,4.0,231.0,162.9532620239904
2020-03-24,RJ,6.0,303.0,215.89073851855943
2020-03-25,RJ,6.0,370.0,285.4956702542662
2020-03-26,RJ,9.0,421.0,377.8005443931723
2020-03-27,RJ,10.0,493.0,499.9792035538277
2020-03-28,RJ,13.0,558.0,661.5988943789899
2020-03-29,RJ,,,875.3326034257012
2020-03-30,RJ,,,1158.124760637731
2020-03-31,RJ,,,1532.2717873658903
2020-04-01,RJ,,,2027.0634304750688
2020-04-02,RJ,,,2681.639508455665
2020-04-03,RJ,,,3547.5214210022036
2020-04-04,RJ,,,4692.268613044227
2020-04-05,RJ,,,6206.096754024025
2020-03-05,ES,0.0,1.0,1.0
2020-03-06,ES,0.0,1.0,1.1999213729297915
2020-03-07,ES,0.0,1.0,1.4396031489002452
2020-03-08,ES,0.0,1.0,1.7270227548348869
2020-03-09,ES,0.0,1.0,2.0727066344071865
2020-03-10,ES,0.0,1.0,2.4992569292520255
2020-03-11,ES,0.0,1.0,3.0131841438419658
2020-03-12,ES,0.0,2.0,3.6154753032129747
2020-03-13,ES,0.0,2.0,4.350636324056156
2020-03-14,ES,0.0,4.0,5.242703150252353
2020-03-15,ES,0.0,4.0,6.291675781801565
2020-03-16,ES,0.0,8.0,7.548153482462147
2020-03-17,ES,0.0,8.0,9.06286604545951
2020-03-18,ES,0.0,11.0,10.879433278297185
2020-03-19,ES,0.0,13.0,13.072905782302955
2020-03-20,ES,0.0,16.0,15.684132453887596
2020-03-21,ES,0.0,26.0,18.82534771051622
2020-03-22,ES,0.0,26.0,22.60095767941153
2020-03-23,ES,0.0,33.0,27.11758681088879
2020-03-24,ES,0.0,40.0,32.54348723230575
2020-03-25,ES,0.0,40.0,39.05197661025536
2020-03-26,ES,0.0,48.0,46.825256438037165
2020-03-27,ES,0.0,54.0,56.21375784109255
2020-03-28,ES,0.0,61.0,67.37285720170497
2020-03-29,ES,,,80.76698558047727
2020-03-30,ES,,,96.85467918891324
2020-03-31,ES,,,116.13688915320563
2020-04-01,ES,,,139.26815865411118
2020-04-02,ES,,,166.99625198575288
2020-04-03,ES,,,200.23724161392872
2020-04-04,ES,,,240.08902763324662
2020-04-05,ES,,,287.86760274876053
2020-03-06,BA,0.0,1.0,1.0
2020-03-07,BA,0.0,2.0,1.2563988429261586
2020-03-08,BA,0.0,2.0,1.5780474724098894
2020-03-09,BA,0.0,2.0,1.9816883814546398
2020-03-10,BA,0.0,2.0,2.4899448668347786
2020-03-11,BA,0.0,3.0,3.146763001335714
2020-03-12,BA,0.0,3.0,3.9647162279398773
2020-03-13,BA,0.0,7.0,4.985013496631054
2020-03-14,BA,0.0,7.0,6.292399783484589
2020-03-15,BA,0.0,9.0,7.897475032263972
2020-03-16,BA,0.0,10.0,9.96058029578827
2020-03-17,BA,0.0,16.0,12.54424851802315
2020-03-18,BA,0.0,27.0,15.757690076446869
2020-03-19,BA,0.0,31.0,19.889268910280197
2020-03-20,BA,0.0,34.0,24.965163472692705
2020-03-21,BA,0.0,41.0,31.375590759218525
2020-03-22,BA,0.0,55.0,39.39883848689486
2020-03-23,BA,0.0,63.0,49.56198725642503
2020-03-24,BA,0.0,79.0,62.24084992286353
2020-03-25,BA,0.0,91.0,78.16187222206909
2020-03-26,BA,0.0,108.0,98.19255491733563
2020-03-27,BA,0.0,123.0,123.30364398386214
2020-03-28,BA,0.0,128.0,154.8438817652851
2020-03-29,BA,,,194.43942348733384
2020-03-30,BA,,,243.85874967522054
2020-03-31,BA,,,305.8497407337407
2020-04-01,BA,,,383.7446764053066
2020-04-02,BA,,,481.49119377876235
2020-04-03,BA,,,604.0686203059373
2020-04-04,BA,,,757.8534149730624
2020-04-05,BA,,,950.7197411671613
2020-03-07,DF,0.0,1.0,1.0
2020-03-08,DF,0.0,1.0,1.3211692184182715
