date,UF,city,ibgeID,TOTAL,totalCasesPred
2020-02-25,SP,São Paulo/SP,3550308,1.0,1.0
2020-02-26,SP,São Paulo/SP,3550308,1.0,1.2572468401857717
2020-02-27,SP,São Paulo/SP,3550308,1.0,1.5801733356865655
2020-02-28,SP,São Paulo/SP,3550308,1.0,1.9856872281562061
2020-02-29,SP,São Paulo/SP,3550308,2.0,2.4966443849112427
2020-03-01,SP,São Paulo/SP,3550308,2.0,3.1573886472248978
2020-03-02,SP,São Paulo/SP,3550308,2.0,3.9806061630813128
2020-03-03,SP,São Paulo/SP,3550308,2.0,5.008617988801139
2020-03-04,SP,São Paulo/SP,3550308,3.0,6.326292774855876
2020-03-05,SP,São Paulo/SP,3550308,6.0,7.945064082478784
2020-03-06,SP,São Paulo/SP,3550308,10.0,10.028173423489658
2020-03-07,SP,São Paulo/SP,3550308,13.0,12.636170192327006
2020-03-08,SP,São Paulo/SP,3550308,15.0,15.870160644743242
2020-03-09,SP,São Paulo/SP,3550308,15.0,19.97778019010582
2020-03-10,SP,São Paulo/SP,3550308,18.0,25.121779076368203
2020-03-11,SP,São Paulo/SP,3550308,44.0,31.636019030360487
2020-03-12,SP,São Paulo/SP,3550308,62.0,39.75224387969656
2020-03-13,SP,São Paulo/SP,3550308,62.0,49.954713692400844
2020-03-14,SP,São Paulo/SP,3550308,62.0,62.837087929279846
2020-03-15,SP,São Paulo/SP,3550308,131.0,78.96021360706708
2020-03-16,SP,São Paulo/SP,3550308,145.0,99.22122986144942
2020-03-17,SP,São Paulo/SP,3550308,156.0,124.61832523978717
2020-03-18,SP,São Paulo/SP,3550308,228.0,156.59215441365816
2020-03-19,SP,São Paulo/SP,3550308,267.0,196.4782329564853
2020-03-20,SP,São Paulo/SP,3550308,366.0,246.6642666273283
2020-03-21,SP,São Paulo/SP,3550308,418.0,309.677364993318
2020-03-22,SP,São Paulo/SP,3550308,583.0,388.81246727849634
2020-03-23,SP,São Paulo/SP,3550308,687.0,488.1648798202028
2020-03-24,SP,São Paulo/SP,3550308,718.0,612.795256148483
2020-03-25,SP,São Paulo/SP,3550308,733.0,769.2429670295483
2020-03-26,SP,São Paulo/SP,3550308,902.0,965.6419432250008
2020-03-27,SP,São Paulo/SP,3550308,1044.0,1212.1708287122963
2020-03-28,SP,São Paulo/SP,3550308,,1521.519319946607
2020-03-29,SP,São Paulo/SP,3550308,,1909.796369123771
2020-03-30,SP,São Paulo/SP,3550308,,2397.110787368111
2020-03-31,SP,São Paulo/SP,3550308,,3008.503182684379
2020-04-01,SP,São Paulo/SP,3550308,,3775.4816906289425
2020-04-02,SP,São Paulo/SP,3550308,,4737.835679071721
2020-04-03,SP,São Paulo/SP,3550308,,5945.124556074724
2020-04-04,SP,São Paulo/SP,3550308,,7459.358255445577
2020-04-05,SP,São Paulo/SP,3550308,,9358.223190410828
2020-03-05,ES,Vila Velha/ES,3205200,1.0,1.0
2020-03-06,ES,Vila Velha/ES,3205200,1.0,1.1524049566915717
2020-03-07,ES,Vila Velha/ES,3205200,1.0,1.3279530543862292
2020-03-08,ES,Vila Velha/ES,3205200,1.0,1.529995585285109
2020-03-09,ES,Vila Velha/ES,3205200,1.0,1.7630676790428341
2020-03-10,ES,Vila Velha/ES,3205200,1.0,2.030878234147281
2020-03-11,ES,Vila Velha/ES,3205200,1.0,2.3395120978554207
2020-03-12,ES,Vila Velha/ES,3205200,2.0,2.6949431104572
2020-03-13,ES,Vila Velha/ES,3205200,2.0,3.10537145170716
2020-03-14,ES,Vila Velha/ES,3205200,2.0,3.5783430837050014
2020-03-15,ES,Vila Velha/ES,3205200,2.0,4.12235740637719
2020-03-16,ES,Vila Velha/ES,3205200,6.0,4.750444816120791
2020-03-17,ES,Vila Velha/ES,3205200,6.0,5.4736576823989065
2020-03-18,ES,Vila Velha/ES,3205200,7.0,6.305754002697385
2020-03-19,ES,Vila Velha/ES,3205200,7.0,7.266426918955076
2020-03-20,ES,Vila Velha/ES,3205200,7.0,8.371983025538368
2020-03-21,ES,Vila Velha/ES,3205200,11.0,9.644096344346849
2020-03-22,ES,Vila Velha/ES,3205200,11.0,11.110605162272783
2020-03-23,ES,Vila Velha/ES,3205200,13.0,12.799366554179697
2020-03-24,ES,Vila Velha/ES,3205200,17.0,14.746637814971521
2020-03-25,ES,Vila Velha/ES,3205200,17.0,16.987970544110333
2020-03-26,ES,Vila Velha/ES,3205200,20.0,19.572428046068772
2020-03-27,ES,Vila Velha/ES,3205200,21.0,22.546880901053147
2020-03-28,ES,Vila Velha/ES,3205200,,25.973785313716807
2020-03-29,ES,Vila Velha/ES,3205200,,29.920530095972126
2020-03-30,ES,Vila Velha/ES,3205200,,34.46815231543229
2020-03-31,ES,Vila Velha/ES,3205200,,39.706021165064875
2020-04-01,ES,Vila Velha/ES,3205200,,45.738908481015635
2020-04-02,ES,Vila Velha/ES,3205200,,52.687496208701
2020-04-03,ES,Vila Velha/ES,3205200,,60.69046978257636
2020-04-04,ES,Vila Velha/ES,3205200,,69.90801288843357
2020-04-05,ES,Vila Velha/ES,3205200,,80.52551046892783
2020-03-06,BA,Feira de Santana/BA,2910800,1.0,1.0
2020-03-07,BA,Feira de Santana/BA,2910800,2.0,1.1185873761060712
2020-03-08,BA,Feira de Santana/BA,2910800,2.0,1.2512006935395261
2020-03-09,BA,Feira de Santana/BA,2910800,2.0,1.3994250779127018
2020-03-10,BA,Feira de Santana/BA,2910800,2.0,1.565350833377443
2020-03-11,BA,Feira de Santana/BA,2910800,3.0,1.7507472973080638
2020-03-12,BA,Feira de Santana/BA,2910800,3.0,1.9582998058974144
2020-03-13,BA,Feira de Santana/BA,2910800,4.0,2.1904526315179567
2020-03-14,BA,Feira de Santana/BA,2910800,4.0,2.449687823238663
2020-03-15,BA,Feira de Santana/BA,2910800,5.0,2.7400831296108086
2020-03-16,BA,Feira de Santana/BA,2910800,5.0,3.0656813538352834
2020-03-17,BA,Feira de Santana/BA,2910800,5.0,3.4299289325425546
2020-03-18,BA,Feira de Santana/BA,2910800,5.0,3.836275314694915
2020-03-19,BA,Feira de Santana/BA,2910800,5.0,4.290769194421047
2020-03-20,BA,Feira de Santana/BA,2910800,6.0,4.80048486312915
2020-03-21,BA,Feira de Santana/BA,2910800,6.0,5.3708711210090385
2020-03-22,BA,Feira de Santana/BA,2910800,6.0,6.007376768250529
2020-03-23,BA,Feira de Santana/BA,2910800,6.0,6.718088344069097
2020-03-24,BA,Feira de Santana/BA,2910800,8.0,7.514440736175977
2020-03-25,BA,Feira de Santana/BA,2910800,8.0,8.405245697344432
2020-03-26,BA,Feira de Santana/BA,2910800,9.0,9.400051367256896
2020-03-27,BA,Feira de Santana/BA,2910800,9.0,10.514453937505571
2020-03-28,BA,Feira de Santana/BA,2910800,,11.761986825146321
2020-03-29,BA,Feira de Santana/BA,2910800,,13.155321245149295
2020-03-30,BA,Feira de Santana/BA,2910800,,14.712795563600851
2020-03-31,BA,Feira de Santana/BA,2910800,,16.456236633371088
2020-04-01,BA,Feira de Santana/BA,2910800,,18.404636264621836
2020-04-02,BA,Feira de Santana/BA,2910800,,20.584959049436
2020-04-03,BA,Feira de Santana/BA,2910800,,23.024836256765514
2020-04-04,BA,Feira de Santana/BA,2910800,,25.750841415486626
2020-04-05,BA,Feira de Santana/BA,2910800,,28.802168869076894
2020-03-07,RJ,Rio de Janeiro/RJ,3304557,1.0,1.0
2020-03-08,RJ,Rio de Janeiro/RJ,3304557,2.0,1.3682780149829454
