ARmaior,Sexo,Armenor,NomeMunic,0 a 5,5 a 10,10 a 15,15 a 20,20 a 25,25 a 30,30 a 35,35 a 40,40 a 45,45 a 50,50 a 55,55 a 60,60 a 65,65 a 70,70 a 75,75 a 80,80 a 85,85 a 90,90+,Total
ACRE,f,1200013,Acrelândia - AC,767.6572,767.7928,801.7916,845.3606,807.8045,749.6571,608.1777,646.8772,586.665,437.9251,406.8437,308.4212,206.4557,174.3118,114.3817,75.16636,36.20747,19.92715,7.837699,8369.261579
ACRE,f,1200054,Assis Brasil - AC,525.0774,527.2499,521.5815,497.1235,442.069,402.3819,329.538,300.0322,253.8376,212.3602,169.4191,122.4704,100.3654,67.42821,40.44873,38.78302,18.79434,9.571784,9.018801,4587.550985
ACRE,f,1200104,Brasiléia - AC,986.8388,1024.884,1081.099,1201.66,1140.168,1031.791,1012.124,941.1411,854.9808,726.8952,586.3176,438.2222,330.3237,276.4326,213.5974,147.8214,87.42088,37.60553,25.5493,12144.872510000003
ACRE,f,1200138,Bujari - AC,460.2039,453.1159,464.4069,493.5845,468.4625,422.1158,412.4701,369.2685,344.5368,244.2861,230.8566,176.4813,160.9173,131.8885,84.21118,48.73089,21.26138,10.88971,10.42333,5008.1111900000005
ACRE,f,1200179,Capixaba - AC,602.6851,566.9667,533.2982,652.6219,675.3786,529.6894,437.4555,392.2821,363.2649,367.3351,254.3666,230.8139,180.0281,116.2725,90.40004,56.00698,28.76885,14.48972,7.366551,6099.490741000001
ACRE,f,1200203,Cruzeiro do Sul - AC,4028.432,4234.754,4524.113,4692.891,4285.94,3530.922,3173.843,3170.275,2609.893,2156.431,1612.146,1258.973,1082.397,800.7731,573.4065,513.3466,304.2736,173.8551,111.9106,42838.575499999984
ACRE,f,1200252,Epitaciolândia - AC,772.2976,795.2481,877.7615,872.5081,917.47,874.4179,750.9971,734.0699,625.6995,505.7263,456.2959,371.8176,239.1691,206.6098,141.8878,106.9578,63.24782,31.1638,20.80882,9364.154440000002
ACRE,f,1200302,Feijó - AC,2096.112,2105.518,2228.515,2104.668,1674.713,1328.868,1134.56,1011.317,842.3568,686.9168,622.3896,425.9829,361.1887,273.058,214.6262,171.3609,85.46136,41.78995,35.7853,17445.18751
ACRE,f,1200328,Jordão - AC,721.9218,630.2636,592.6013,561.5954,439.6196,337.684,264.9213,240.0323,187.6088,136.2431,91.77976,66.11057,54.63777,28.21966,25.19675,15.94028,14.84048,2.6168,4.057032,4415.890301999999
ACRE,f,1200336,Mâncio Lima - AC,1038.905,1046.459,1065.772,997.796,884.8052,736.7111,656.9275,709.5109,534.1551,437.6311,312.6246,253.6018,230.1782,166.8318,102.9608,94.07086,45.86606,26.40277,18.04744,9359.257230000001
ACRE,f,1200344,Manoel Urbano - AC,477.5399,460.543,478.7462,453.2085,392.7761,334.1847,303.7839,324.8607,274.4043,210.6698,151.1038,126.4799,105.0478,67.2689,42.94916,34.53275,26.43079,15.76026,10.27185,4290.56231
ACRE,f,1200351,Marechal Thaumaturgo - AC,1697.648,1578.418,1450.834,1319.183,1071.564,866.9173,597.2782,561.4089,391.6022,340.2494,205.7526,197.7315,119.9897,94.65719,61.91729,56.5299,31.40182,12.63993,5.542771,10661.265700999998
ACRE,f,1200385,Plácido de Castro - AC,740.06,746.9057,850.2549,860.1768,816.428,613.7554,596.4398,594.1357,561.6871,524.3938,428.1226,376.864,252.7453,235.206,153.9181,105.2289,73.38478,31.95816,16.91701,8578.582049999999
ACRE,f,1200393,Porto Walter - AC,1079.104,972.8701,895.5152,828.9985,653.6224,415.9192,376.2827,358.1154,297.5788,213.0402,152.7476,104.7541,90.2092,63.69446,34.79545,30.34164,18.51783,8.467434,7.444874,6602.019087999999
ACRE,f,1200401,Rio Branco - AC,15185.96,16494.08,18334.22,19633.07,20228.89,19142.48,18146.89,17513.04,15826.51,12439.94,10704.15,8068.664,6460.055,4769.07,3279.649,2287.335,1392.845,711.3358,469.5622,211087.74599999998
ACRE,f,1200427,Rodrigues Alves - AC,1452.103,1354.445,1264.715,1333.39,1126.532,885.5971,707.5547,746.9448,600.9148,444.1707,303.3932,238.0098,168.0938,124.6479,98.62825,62.31074,35.51489,18.27657,9.013515,10974.255765000004
ACRE,f,1200435,Santa Rosa do Purus - AC,648.9775,550.0413,496.562,462.9648,394.9632,343.7784,314.9061,237.4778,152.0201,130.8552,79.76335,58.54676,47.60723,32.13212,29.91903,15.38974,8.730884,2.623002,3.017048,4010.2755640000014
ACRE,f,1200450,Senador Guiomard - AC,743.9563,769.3853,890.2804,943.5153,878.3317,779.6177,691.1327,712.6862,625.7042,570.5118,458.9627,392.4431,321.277,265.5692,176.2303,130.5056,86.80419,36.43044,23.01697,9496.361100000002
ACRE,f,1200500,Sena Madureira - AC,2085.358,2091.366,2118.837,2283.095,2196.028,1936.48,1792.561,1698.772,1464.238,1083.576,826.9954,649.7684,519.6204,436.7797,325.0358,222.6546,132.1575,76.56095,51.26739,21991.151140000005
