Sigla,Estado,População
AC,Acre,894469
AL,Alagoas,3351098
AM,Amazonas,4207718
AP,Amapá,861770
BA,Bahia,14930423
CE,Ceará,9187894
DF,Distrito Federal,3052546
ES,Espírito Santo,4064051
GO,Goiás,7116147
MA,Maranhão,7114607
MG,Minas Gerais,21292676
MS,Mato Grosso do Sul,2809391
MT,Mato Grosso,3526222
PA,Pará,8690748
PB,Paraíba,4039281
PE,Pernambuco,9617078
PI,Piauí,3280687
PR,Paraná,11516844
RJ,Rio de Janeiro,17366190
RN,Rio Grande do Norte,3534165
RO,Rondônia,1796455
RR,Roraima,631181
RS,Rio Grande do Sul,11422978
SC,Santa Catarina,7252499
SE,Sergipe,2319027
SP,São Paulo,46289348
TO,Tocantins,1590247
