UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA 
RO,11,15,Alta Floresta D'Oeste,22945
RO,11,23,Ariquemes,107863
RO,11,31,Cabixi,5312
RO,11,49,Cacoal,85359
RO,11,56,Cerejeiras,16323
RO,11,64,Colorado do Oeste,15882
RO,11,72,Corumbiara,7391
RO,11,80,Costa Marques,18331
RO,11,98,Espigão D'Oeste,32374
RO,11,106,Guajará-Mirim,46174
RO,11,114,Jaru,51775
RO,11,122,Ji-Paraná,128969
RO,11,130,Machadinho D'Oeste,39991
RO,11,148,Nova Brasilândia D'Oeste,20474
RO,11,155,Ouro Preto do Oeste,36035
RO,11,189,Pimenta Bueno,36660
RO,11,205,Porto Velho,529544
RO,11,254,Presidente Médici,18986
RO,11,262,Rio Crespo,3764
RO,11,288,Rolim de Moura,55058
RO,11,296,Santa Luzia D'Oeste,6495
RO,11,304,Vilhena,99854
RO,11,320,São Miguel do Guaporé,23005
RO,11,338,Nova Mamoré,30583
RO,11,346,Alvorada D'Oeste,14411
RO,11,379,Alto Alegre dos Parecis,13241
RO,11,403,Alto Paraíso,21428
RO,11,452,Buritis,39654
RO,11,502,Novo Horizonte do Oeste,8538
RO,11,601,Cacaulândia,6230
RO,11,700,Campo Novo de Rondônia,14139
RO,11,809,Candeias do Jamari,26693
RO,11,908,Castanheiras,3052
RO,11,924,Chupinguaia,11182
RO,11,940,Cujubim,25215
RO,11,1005,Governador Jorge Teixeira,7767
RO,11,1104,Itapuã do Oeste,10458
RO,11,1203,Ministro Andreazza,9660
RO,11,1302,Mirante da Serra,10947
RO,11,1401,Monte Negro,15852
RO,11,1435,Nova União,6970
RO,11,1450,Parecis,6074
RO,11,1468,Pimenteiras do Oeste,2169
RO,11,1476,Primavera de Rondônia,2856
RO,11,1484,São Felipe D'Oeste,5172
RO,11,1492,São Francisco do Guaporé,20266
RO,11,1500,Seringueiras,11856
RO,11,1559,Teixeirópolis,4308
RO,11,1609,Theobroma,10444
RO,11,1708,Urupá,11467
RO,11,1757,Vale do Anari,11204
RO,11,1807,Vale do Paraíso,6825
AC,12,13,Acrelândia,15256
AC,12,54,Assis Brasil,7417
AC,12,104,Brasiléia,26278
